ITAG	logFC	logCPM	LR	PValue	FDR	SGN_annotation	AGI	symbol	gene_name	X..identity	alignment.length	e.value	bit.score	percent.query.align
Solyc00g005092	-1.316377422	5.177079565	11.76876762	0.000602328	0.046639707	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g170200	-1.256487944	5.517175532	12.17715283	0.000483784	0.04069198	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g005000	1.96322167	1.366849949	13.78377731	0.0002051	0.023892292	Glutamate decarboxylase (AHRD V1 ***- Q1I1D8_CITSI); contains Interpro domain(s)  IPR010107  Glutamate decarboxylase 	AT2G02010	GAD4	"glutamate decarboxylase, putative; similar to GAD (Glutamate decarboxylase 1), calmodulin binding [Arabidopsis thaliana] (TAIR:AT5G17330.1); similar to glutamate decarboxylase, putative [Arabidopsis thaliana] (TAIR:AT3G17760.1); similar to glutamate decarboxylase, putative [Arabidopsis thaliana] (TAIR:AT2G02000.1); similar to glutamate decarboxylase 4b [Brassica juncea] (GB:AAS79671.1); similar to glutamate decarboxylase 4a [Brassica juncea] (GB:AAS79670.1); similar to glutamate decarboxylase isozyme 1 [Nicotiana tabacum] (GB:AAC24195.1); contains InterPro domain Glutamate decarboxylase; (InterPro:IPR010107); contains InterPro domain Pyridoxal-dependent decarboxylase; (InterPro:IPR002129)"	82.42	495	0	816	99.58762887
Solyc01g005010	1.332993606	3.359790385	12.31754778	0.00044872	0.038480282	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g005060	1.98819696	3.313707431	21.00090576	4.59E-06	0.002048447	"Zinc finger protein (AHRD V1 *-*- Q764N7_MALDO); contains Interpro domain(s)  IPR007087  Zinc finger, C2H2-type "	AT2G01940	ATIDD15	May be involved in an early event in shoot gravitropism such as gravity perception and/or a signaling process subsequent to amyloplast sedimentation as a putative transcription factor in gravity-perceptive cells.	55.61	374	4.00E-109	391	88.52941176
Solyc01g005120	1.383622604	4.755076308	20.09344659	7.37E-06	0.002449889	Xyloglucan endotransglucosylase/hydrolase 13 (AHRD V1 **** C0IRH2_ACTDE); contains Interpro domain(s)  IPR016455  Xyloglucan endotransglucosylase/hydrolase 	AT1G14720	ATXTH28	member of Glycoside Hydrolase Family 16	68.54	302	1.00E-127	452	89.28571429
Solyc01g005130	0.919481785	2.66793367	12.26377774	0.000461836	0.039348693	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g005530	0.700585138	3.997722999	15.32792886	9.04E-05	0.013986119	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g006825	0.699928062	3.325210507	12.32643177	0.000446589	0.038480282	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g007260	1.278450493	3.528815243	12.98929161	0.000313277	0.030546874	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g010130	-3.042741759	4.872579247	14.59834537	0.000133031	0.018241224	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g010170	-0.938765146	5.163143902	12.49350406	0.00040837	0.036281991	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g010510	-1.951756103	4.130147896	15.85569751	6.84E-05	0.011536695	Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7KPN1_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat 	AT1G26900	NA	pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT2G22410.1); similar to Pancreatic ribonuclease; Tetratricopeptide-like helical [Medicago truncatula] (GB:ABE87347.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990)	50.36	556	3.00E-159	558	92.29480737
Solyc01g010970	-1.949927276	3.079591123	30.3965023	3.52E-08	9.68E-05	ARGONAUTE 1 (AHRD V1 ***- D6RUV9_TOBAC); contains Interpro domain(s)  IPR003165  Stem cell self-renewal protein Piwi 	AT1G69440	AGO7	"Encodes ARGONAUTE7, a member of the ARGONAUTE family, characterised by the presence of PAZ and PIWI domains. Involved in the regulation of developmental timing. Required for the accumulation of TAS3 ta-siRNAs but not for accumulation of miR171, miR173, miR390 or mi391.   Localized in mature rosette leaves and floral buds."	69.13	865	0	1226	86.01398601
Solyc01g020155	-1.80290616	0.576774985	13.63583584	0.000221909	0.024822435	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g020230	-1.452282497	5.586630695	12.28093609	0.000457609	0.039115151	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g044373	-1.73983634	1.204877283	13.61417703	0.000224484	0.024936653	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g058030	-1.975016079	4.403509461	26.03550948	3.35E-07	0.000281298	Gibberellin 2-oxidase (AHRD V1 **** A4GVL5_SOLLC); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase 	AT1G47990	ATGA2OX4	Encodes a gibberellin 2-oxidase. AtGA2OX4 expression is responsive to cytokinin and KNOX activities.	53.62	207	2.00E-50	195	89.90825688
