"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005040"	1.76989600227182	3.41381725164867	0.000901318414299571	0.020663854619281	"Potassium channel (AHRD V1 ***- D0EM91_9ROSI); contains Interpro domain(s)  IPR000595  Cyclic nucleotide-binding "	"AT5G46240"	"KAT1"	"potassium channel protein (KAT1)"	66.02	103	2e-37	150	85.71428571
"Solyc00g005092"	2.26342204903495	5.71393520426713	1.05804095989756e-05	0.000337935383848925	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g005445"	5.69835584614187	6.25744089302972	6.58537783242144e-22	1.39586063218853e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006568"	5.78594746560664	8.55956822906959	3.68283887252696e-23	9.90054642089173e-21	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007160"	1.89514820934037	4.37914738747161	0.000264864811533069	0.00679382612288782	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007300"	-2.380910132305	3.58498747136647	0.000119930471362928	0.00330141543128458	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008915"	3.59325551343899	5.22861150904345	3.652429400449e-11	1.93986432576011e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009060"	1.88753560149769	2.64852224583327	0.000642083001955439	0.0152452212562047	"Hypoxanthine phosphoribosyltransferase (AHRD V1 ***- B4UWA8_ARAHY); contains Interpro domain(s)  IPR005904  Hypoxanthine phosphoribosyl transferase "	"AT1G71750"	"HGPT"	"phosphoribosyltransferase family protein; similar to Hypoxanthine phosphoribosyl transferase [Desulfotomaculum reducens MI-1] (GB:ZP_01148584.1); contains InterPro domain Hypoxanthine phosphoribosyl transferase; (InterPro:IPR005904); contains InterPro domain Phosphoribosyltransferase; (InterPro:IPR000836); contains InterPro domain Purine/pyrimidine phosphoribosyl transferase; (InterPro:IPR002375)"	60.71	196	6e-67	250	97.5
"Solyc00g011175"	2.88202831266466	3.77193831383382	1.2493457492942e-07	4.91226736771393e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g022107"	5.39684153077786	5.85603878143339	5.30886743191249e-20	7.50191230560434e-18	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g026160"	2.36991673538166	3.84269174484996	8.05318454669598e-06	0.000260788959570505	"Ferric reductase oxidase (AHRD V1 **** D6RVS5_HORVU); contains Interpro domain(s)  IPR013121  Ferric reductase, NAD binding "	"AT5G23980"	"ATFRO4"	"Encodes a ferric chelate reductase that is expressed at low levels in roots,shoots and cotyledons, but not flowers. Its transcription is regulated by FIT1."	58.46	455	3e-140	495	99.5505618
"Solyc00g026165"	6.05250011230494	7.07064260434303	3.90690585575191e-24	1.5439562191985e-21	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g030105"	6.15669140883884	6.89561902679985	1.23537534704811e-24	6.35131177534552e-22	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g030215"	2.42905062882137	3.82232258662415	6.4684234979232e-06	0.000212120622050039	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g032945"	2.76902959166569	7.13197878128083	8.63923222392013e-08	3.45773674624844e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g042852"	5.80471350763626	5.87383223324969	5.77979202864378e-22	1.24779287907276e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g044350"	2.78528459264105	4.54905089971926	1.60500302449353e-07	6.26838367153957e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g052430"	5.4719503102667	6.71670561807471	5.41428055777752e-21	9.35106411001041e-19	"Cytochrome c biogenesis FC (AHRD V1 ***- D5I3C4_CITLA)"	"ATMG00180"	"CCB452"	"cytochrome c biogenesis orf452"	89.29	364	4e-167	584	94.47368421
"Solyc00g058480"	2.85581959022686	3.88163407757353	1.62705579019316e-07	6.34388508430498e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g069680"	3.34061540636298	4.22464944836455	1.60101256710676e-09	7.48080340975176e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g069883"	3.40298973507151	7.28124090924192	1.22585120249986e-10	6.15990229256179e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g071180"	4.84609679529546	6.47170620591378	1.23268295823606e-17	1.21271037359629e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g072805"	4.51825545635524	6.53451929877457	5.08540929367293e-16	3.97890614400262e-14	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g090115"	3.1776304999241	6.38145159799766	1.5788036141438e-09	7.39184439103954e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g095465"	4.37471012537165	5.47329588097121	5.28976378284364e-15	3.72616714080913e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g100885"	5.00372960751143	9.26413084563545	5.66825120395648e-19	6.99264259637298e-17	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g125275"	5.44381814539078	6.43439926958013	1.11580912148095e-20	1.79422106734136e-18	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g128875"	4.79355906200194	8.96508410872219	8.24484375225305e-18	8.32193839513126e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g141565"	6.30481367945653	6.71103158312913	3.80582726821498e-25	2.60990201722649e-22	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g143777"	4.46618922055122	7.21241630688542	6.69773357062163e-16	5.18818458247887e-14	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g147573"	6.19354375318391	6.62909931732203	1.52585414159498e-24	6.97584611086834e-22	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g167805"	5.20069731275516	9.21385728175285	4.83661005128302e-20	7.00437266805683e-18	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g170210"	2.6807580119058	5.43205753084082	2.90773796343401e-07	1.10059770057512e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g170510"	4.96826701344906	4.55040713893709	6.12637605797425e-17	5.43127696455238e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g170515"	4.89833258090246	6.05985463254987	9.24250395831592e-18	9.20932573897837e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g172410"	4.75825732854636	4.51927914218106	5.86903895211514e-16	4.56141707358388e-14	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g174345"	5.29593084384395	7.14485747732589	3.08233299596231e-20	4.66673221648424e-18	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g179240"	4.14496275520525	4.74709227933129	2.34229295585572e-13	1.44861810500616e-11	"MADS-box transcription factor (AHRD V1 ***- Q1EMR8_PLAMJ); contains Interpro domain(s)  IPR002100  Transcription factor, MADS-box "	"AT2G45660"	"AGL20"	"Controls flowering and is required for CO to promote flowering. It acts downstream of FT. Overexpression of (SOC1) AGL20 suppresses not only the late flowering of plants that have functional FRI and FLC alleles but also the delayed phase transitions during the vegetative stages of"	94.34	53	3e-24	106	94.54545455
"Solyc00g183555"	6.29862689136645	8.12832107891508	6.00517697735366e-26	7.0008353201989e-23	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g212265"	5.51944628723354	8.17399342875927	1.22188897622664e-21	2.43500541621371e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g222065"	6.29573746547605	7.38836237790178	1.31907907315388e-25	1.36342274625701e-22	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g222067"	5.96570433725092	8.36528059389475	3.7615269029946e-24	1.51213381500383e-21	NA	NA	NA	NA	NA	NA	NA	NA	NA
