"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g006568"	5.33286504333198	9.0785569504713	2.42248312436636e-09	4.06667744572602e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006680"	-2.71660509942267	7.59772493974035	0.000600961616992797	0.0127401555848089	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008570"	-2.49864027236374	10.2783524845456	0.00147109251888646	0.0276565393550654	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008580"	-3.53003048793585	6.01448458958387	2.01190822521061e-05	0.000693339355614701	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008915"	3.77892409910765	5.52369170301204	6.84551299438728e-06	0.000269549700616783	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009760"	-2.42927088945375	9.14962229211908	0.00193253304509391	0.0350777772934465	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010530"	-2.47065550061157	6.21496399810142	0.00170729045127714	0.0314022032212423	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011150"	-3.90233300383733	6.57199039433541	2.96360135640841e-06	0.000130151001914636	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011160"	-2.58824244340518	8.06250783029164	0.00101865503526791	0.0200911515438109	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g012430"	-2.9940597905855	5.24954586040905	0.000219998538507185	0.00550994072066181	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g012440"	-2.71517650762037	8.07135555240853	0.000608180398134055	0.0128684913743116	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g026165"	4.58527806751785	7.13137319531445	1.12625872433804e-07	8.15706728545158e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g030105"	5.54969535498511	7.96904043967809	8.40960359201211e-10	2.05058684376206e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g032945"	4.01033249351937	9.38792471740233	1.75692785396561e-06	8.20518737718824e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g052430"	5.06401569763224	7.27546254708192	1.05823695580829e-08	1.23033970283185e-06	"Cytochrome c biogenesis FC (AHRD V1 ***- D5I3C4_CITLA)"	"ATMG00180"	"CCB452"	"cytochrome c biogenesis orf452"	89.29	364	4e-167	584	94.47368421
"Solyc00g056680"	3.74957376120412	4.02548689296533	1.16853003584316e-05	0.000433101149190861	"Lipase-like protein (AHRD V1 ***- Q949E1_ORYSA); contains Interpro domain(s)  IPR002921  Lipase, class 3 "	"AT4G16820"	"PLA-I{beta]2"	"lipase class 3 family protein; similar to DAD1 (DEFECTIVE ANTHER DEHISCENCE 1), triacylglycerol lipase [Arabidopsis thaliana] (TAIR:AT2G44810.1); similar to lipase-like protein [Oryza sativa] (GB:CAC39051.1); similar to Os02g0653900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047607.1); contains InterPro domain Lipase, class 3; (InterPro:IPR002921)"	57.25	531	3e-161	565	97.76951673
"Solyc00g069883"	3.32830863199271	8.0693171502649	4.38429299252072e-05	0.00135833144747241	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g071180"	2.85292953146284	6.31240371654663	0.000372007903476991	0.00860487391393374	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g072805"	3.63542659085595	6.70194886528506	1.13200378163422e-05	0.000422398032707769	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g090115"	3.67222903109882	7.2801587940889	9.26792928920811e-06	0.000351767281784549	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g095465"	4.33651712905169	6.01755225366693	4.45947257424598e-07	2.55869478350893e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g100885"	4.96373854647068	10.2231862203341	1.52822594359879e-08	1.59238259877817e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g125275"	4.88385196087881	7.20979451013361	2.53840610387978e-08	2.33639128477935e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g128875"	5.32279828396549	10.475430074465	2.43006529124416e-09	4.06667744572602e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g143777"	3.93225715248242	7.57524499303545	2.659368787037e-06	0.000119159140985086	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g167805"	4.79630949488141	9.78562239102236	3.57575132718025e-08	3.06156383013224e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g170210"	2.82798462109727	5.84185988404312	0.00041605754181197	0.00946520195533101	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g170515"	6.01608487581676	7.99978395530386	7.82628925868136e-11	5.14611876916199e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g174345"	4.70870204946612	7.64517067879644	6.08481031739613e-08	4.73286830673523e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g179240"	4.03263863331322	5.91287787420428	1.946383051781e-06	8.9387945143123e-05	"MADS-box transcription factor (AHRD V1 ***- Q1EMR8_PLAMJ); contains Interpro domain(s)  IPR002100  Transcription factor, MADS-box "	"AT2G45660"	"AGL20"	"Controls flowering and is required for CO to promote flowering. It acts downstream of FT. Overexpression of (SOC1) AGL20 suppresses not only the late flowering of plants that have functional FRI and FLC alleles but also the delayed phase transitions during the vegetative stages of"	94.34	53	3e-24	106	94.54545455
"Solyc00g183555"	5.64668195240059	8.99526406678332	4.76883578457574e-10	1.44306277371614e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g212265"	5.69516729620317	9.45003579502806	3.70645965639321e-10	1.18660425811197e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g222065"	5.58711420528546	8.13175463586114	6.92876330563042e-10	1.86654123684605e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g222067"	4.69657231813448	8.92556713841585	6.05240620889344e-08	4.72865970433353e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g231680"	4.2441442065066	5.65850517619623	6.8931241119352e-07	3.71388077152802e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g244305"	5.22155558376094	9.03355349924607	4.25380622432046e-09	6.18896453149872e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g247305"	5.59423025261124	9.21779006019488	6.23189846707318e-10	1.75707664341295e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g277510"	5.17636818259788	7.73823754673922	5.74288623826904e-09	7.58755373297304e-07	"Photosystem Q(B) protein (AHRD V1 ***- Q95B48_PRUPE); contains Interpro domain(s)  IPR000484  Photosynthetic reaction centre, L/M "	"ATCG00020"	"PSBA"	"Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core"	91.04	67	4e-23	102	97.01492537
"Solyc00g294233"	4.80907125937434	9.3282266304567	3.4673530168444e-08	2.9919464118005e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g304030"	4.45216977671229	6.53857317043155	2.36948950753996e-07	1.51277523761727e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g304035"	3.92607542748256	9.04523120609097	2.63285726384955e-06	0.000118211010078123	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005570"	3.23804840764091	7.37505783114603	6.69478226079815e-05	0.00197975555744352	"Unknown Protein (AHRD V1); contains Interpro domain(s)  IPR012438  Protein of unknown function DUF1639 "	"AT1G55340"	NA	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G03880.1); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:AAV67822.1); similar to Os03g0807200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051641.1); contains InterPro domain Protein of unknown function DUF1639; (InterPro:IPR012438)"	84.27	89	2e-39	156	92.63157895
