"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g007200"	1.87981779072195	4.62177599448171	5.45585957683885e-05	0.00517389708610306	"MLO-like protein 3 (AHRD V1 ***- C6EWE6_VITVI); contains Interpro domain(s)  IPR004326  Mlo-related protein "	"AT2G17480"	"ATMLO8"	"A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resistance locus o (MLO) protein. The Arabidopsis genome contains 15 genes encoding MLO proteins, with localization in plasma membrane. Phylogenetic analysis revealed four clades of closely-related AtMLO genes. ATMLO8 belongs to the clade III, with AtMLO5, AtMLO7, AtMLO9, and AtMLO10. The gene is expressed during seedling growth, in cotyledons and hypocotyl, and in fruit abscission zone, as shown by GUS activity patterns. The expression of several phylogenetically closely-related AtMLO genes showed similar or overlapping tissue specificity and analogous responsiveness to external stimuli, suggesting functional redundancy, co-function, or antagonistic function(s)."	62.21	561	0	651	97.65765766
"Solyc00g007300"	2.28803900627575	3.73801415713811	2.83911055594622e-06	0.000441922243087629	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011150"	-1.58162802994188	6.99435602333032	0.00020430232385992	0.0151183719656341	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g072100"	2.02805838314148	3.23391989210006	6.22021114428385e-05	0.0057773730669336	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g085070"	3.0278802992341	6.78608156138301	3.68390126794623e-10	2.59830161304833e-07	"Squalene monooxygenase (AHRD V1 ***- Q506K3_DATIN); contains Interpro domain(s)  IPR013698  Squalene epoxidase "	"AT4G37760"	"SQE3"	"squalene monooxygenase, putative / squalene epoxidase, putative; similar to XF1, oxidoreductase [Arabidopsis thaliana] (TAIR:AT1G58440.1); similar to squalene monooxygenase, putative / squalene epoxidase, putative [Arabidopsis thaliana] (TAIR:AT2G22830.1); similar to squalene monooxygenase [Datura innoxia] (GB:AAY22200.1); similar to squalene monooxygenase 2 [Medicago truncatula] (GB:CAD23248.1); similar to putative squalene epoxidase [Lycopersicon esculentum] (GB:AAQ13595.1); contains InterPro domain NAD-binding site; (InterPro:IPR000205); contains InterPro domain Squalene epoxidase; (InterPro:IPR013698); contains InterPro domain FAD dependent oxidoreductase; (InterPro:IPR006076); contains InterPro domain Aromatic-ring hydroxylase; (InterPro:IPR003042)"	81.45	442	0	753	95.04310345
"Solyc00g096460"	1.73577634713746	3.67126850709699	0.000281101813890988	0.019703316582359	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g099580"	-2.11824669465492	5.797452649946	1.14894824233093e-06	0.000214312081234786	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g110870"	1.70877221888264	4.24511294492347	0.00029856552564694	0.0206706255026117	"Receptor like kinase, RLK"	"AT4G23740"	NA	"leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT1G64210.1); similar to putative receptor-like kinase [Oryza sativa (japonica cultivar-group)] (GB:BAA94519.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Leucine rich repeat, N-terminal; (InterPro:IPR013210)"	53.68	421	3e-116	415	92.92237443
"Solyc00g147573"	1.8670066313292	4.19638750700783	6.0924266828066e-05	0.00568206901780764	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g170515"	2.18154913229242	4.77741894715805	3.45862957474415e-06	0.000513560983565628	NA	NA	NA	NA	NA	NA	NA	NA	NA
