"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g008580"	-1.14709600424694	7.56568500329882	0.000228082524511749	0.0207492239917046	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g012430"	-1.27335144655186	7.26088778269173	4.82733404775337e-05	0.00557726039207185	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g022107"	1.60463252103772	3.5196996215048	1.34216307033913e-06	0.000276905018449341	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g026160"	-2.08910240699628	3.69198366023447	1.22784611977908e-08	4.43310004527113e-06	"Ferric reductase oxidase (AHRD V1 **** D6RVS5_HORVU); contains Interpro domain(s)  IPR013121  Ferric reductase, NAD binding "	"AT5G23980"	"ATFRO4"	"Encodes a ferric chelate reductase that is expressed at low levels in roots,shoots and cotyledons, but not flowers. Its transcription is regulated by FIT1."	58.46	455	3e-140	495	99.5505618
"Solyc00g071180"	-1.16403457614242	4.23729125972358	0.000489750818804203	0.0383616005766397	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g280110"	4.99542069196503	3.97389104656736	2.68153194938966e-37	1.23924317509094e-33	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g006410"	1.23347572040136	4.45844655645212	6.17207220575348e-05	0.00682383121810266	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g006420"	1.30083223441163	4.5306893285379	1.92095980423564e-05	0.00263850293222645	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g006440"	1.53778287526432	3.64628782162163	2.11313222887574e-06	0.000410320558089342	"Peptide transporter-like protein (AHRD V1 **-* Q9SVS9_ARATH); contains Interpro domain(s)  IPR000109  TGF-beta receptor, type I/II extracellular region "	"AT5G19640"	NA	"proton-dependent oligopeptide transport (POT) family protein; similar to proton-dependent oligopeptide transport (POT) family protein [Arabidopsis thaliana] (TAIR:AT1G32450.1); similar to TGF-beta receptor, type I/II extracellular re (GB:ABE93353.1); similar to TGF-beta receptor, type I/II extracellular re (GB:ABD32535.1); similar to TGF-beta receptor, type I/II extracellular re (GB:ABE93051.1); contains InterPro domain TGF-beta receptor, type I/II extracellular region; (InterPro:IPR000109)"	64.59	545	0	697	90.31719533
"Solyc01g006460"	1.67197069261243	3.70230517277843	2.86961582034666e-07	6.98474630785703e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g006490"	1.10115974651863	4.03044364539584	0.00050748728738018	0.0393507005016571	"Protein YdiU (AHRD V1 ***- B5N5F2_SALET); contains Interpro domain(s)  IPR003846  Uncharacterised protein family UPF0061 "	"AT5G13030"	NA	"similar to Os06g0320700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001057514.1); similar to hypothetical protein ebA6654 [Azoarcus sp. EbN1] (GB:YP_160826.1); contains InterPro domain Protein of unknown function UPF0061; (InterPro:IPR003846)"	77.64	568	0	959	98.60869565
