"itag","go"
"Solyc00g005000","GO:0004190"
"Solyc00g005285","GO:0008168"
"Solyc00g005285","GO:0008171"
"Solyc00g005440","GO:0003723"
"Solyc00g005460","GO:0003723"
"Solyc00g005840","GO:0045454"
"Solyc00g005900","GO:0005509"
"Solyc00g005900","GO:0016021"
"Solyc00g006480","GO:0008152"
"Solyc00g006483","GO:0003677"
"Solyc00g006490","GO:0005488"
"Solyc00g006550","GO:0008152"
"Solyc00g006560","GO:0008152"
"Solyc00g006800","GO:0003824"
"Solyc00g006800","GO:0004801"
"Solyc00g006800","GO:0005975"
"Solyc00g006820","GO:0005215"
"Solyc00g006820","GO:0005215"
"Solyc00g007010","GO:0042578"
"Solyc00g007010","GO:0052866"
"Solyc00g007030","GO:0005515"
"Solyc00g007040","GO:0005515"
"Solyc00g007060","GO:0004672"
"Solyc00g007060","GO:0004672"
"Solyc00g007060","GO:0005524"
"Solyc00g007070","GO:0000166"
"Solyc00g007070","GO:0003676"
"Solyc00g007080","GO:0071816"
"Solyc00g007090","GO:0017176"
"Solyc00g007100","GO:0004672"
"Solyc00g007100","GO:0004672"
"Solyc00g007100","GO:0005524"
"Solyc00g007110","GO:0005509"
"Solyc00g007110","GO:0005515"
"Solyc00g007120","GO:0005509"
"Solyc00g007120","GO:0005515"
"Solyc00g007180","GO:0016491"
"Solyc00g007190","GO:0004722"
"Solyc00g007195","GO:0003824"
"Solyc00g007195","GO:0004722"
"Solyc00g007200","GO:0006952"
"Solyc00g007220","GO:0005515"
"Solyc00g007225","GO:0003676"
"Solyc00g007225","GO:0003677"
"Solyc00g007225","GO:0046983"
"Solyc00g007260","GO:0006508"
"Solyc00g007270","GO:0042256"
"Solyc00g007300","GO:0005515"
"Solyc00g007305","GO:0006508"
"Solyc00g007330","GO:0046872"
"Solyc00g007450","GO:0046872"
"Solyc00g007570","GO:0004650"
"Solyc00g008680","GO:0005509"
"Solyc00g009020","GO:0009555"
"Solyc00g009030","GO:0005215"
"Solyc00g009030","GO:0016020"
"Solyc00g009030","GO:0016021"
"Solyc00g009040","GO:0000166"
"Solyc00g009040","GO:0003676"
"Solyc00g009040","GO:0003723"
"Solyc00g009060","GO:0004422"
"Solyc00g009060","GO:0009116"
"Solyc00g009090","GO:0004672"
"Solyc00g009090","GO:0004672"
"Solyc00g009090","GO:0005515"
"Solyc00g009090","GO:0005524"
"Solyc00g009100","GO:0003676"
"Solyc00g009110","GO:0046856"
"Solyc00g009141","GO:0005787"
"Solyc00g009540","GO:0000723"
"Solyc00g009540","GO:0004386"
"Solyc00g010750","GO:0003924"
"Solyc00g010755","GO:0005524"
"Solyc00g010760","GO:0000723"
"Solyc00g010760","GO:0004386"
"Solyc00g011870","GO:0003824"
"Solyc00g011870","GO:0004722"
"Solyc00g011870","GO:0043169"
"Solyc00g011890","GO:0005524"
"Solyc00g011890","GO:0005524"
"Solyc00g012540","GO:0046872"
"Solyc00g012640","GO:0006306"
"Solyc00g012660","GO:0005515"
"Solyc00g012690","GO:0006355"
"Solyc00g012700","GO:0006355"
"Solyc00g013140","GO:0008137"
"Solyc00g013180","GO:0008137"
"Solyc00g014800","GO:0046872"
"Solyc00g014830","GO:0016651"
"Solyc00g014960","GO:0005515"
"Solyc00g014970","GO:0000723"
"Solyc00g014970","GO:0004386"
"Solyc00g014980","GO:0005515"
"Solyc00g015000","GO:0006306"
"Solyc00g015730","GO:0003676"
"Solyc00g015730","GO:0046872"
"Solyc00g015733","GO:0016491"
"Solyc00g016490","GO:0005515"
"Solyc00g017220","GO:0005634"
"Solyc00g017230","GO:0005576"
"Solyc00g017230","GO:0009664"
"Solyc00g017540","GO:0006614"
"Solyc00g017550","GO:0006614"
"Solyc00g017860","GO:0016491"
"Solyc00g017870","GO:0006810"
"Solyc00g017880","GO:0005524"
"Solyc00g017900","GO:0003723"
"Solyc00g017910","GO:0003951"
"Solyc00g017910","GO:0003951"
"Solyc00g017910","GO:0003951"
"Solyc00g017920","GO:0003824"
"Solyc00g017920","GO:0004332"
"Solyc00g017920","GO:0005975"
"Solyc00g017930","GO:0003989"
"Solyc00g018770","GO:0005515"
"Solyc00g019620","GO:0005515"
"Solyc00g019730","GO:0004129"
"Solyc00g019730","GO:0015002"
"Solyc00g019730","GO:0015002"
"Solyc00g019740","GO:0005739"
"Solyc00g019950","GO:0008137"
"Solyc00g019950","GO:0016651"
"Solyc00g020040","GO:0015232"
"Solyc00g020970","GO:0005515"
"Solyc00g020990","GO:0005525"
"Solyc00g021500","GO:0005488"
"Solyc00g021510","GO:0006812"
"Solyc00g021510","GO:0006812"
"Solyc00g021520","GO:0005525"
"Solyc00g021530","GO:0016787"
"Solyc00g021630","GO:0008137"
"Solyc00g021640","GO:0003723"
"Solyc00g022107","GO:0003735"
"Solyc00g023020","GO:0005524"
"Solyc00g023020","GO:0006189"
"Solyc00g023040","GO:0005506"
"Solyc00g023260","GO:0005096"
"Solyc00g023270","GO:0000808"
"Solyc00g023470","GO:0005618"
"Solyc00g024020","GO:0003824"
"Solyc00g024030","GO:0005737"
"Solyc00g024030","GO:0006508"
"Solyc00g024030","GO:0008152"
"Solyc00g024040","GO:0009030"
"Solyc00g024050","GO:0016491"
"Solyc00g024150","GO:0006729"
"Solyc00g024160","GO:0005515"
"Solyc00g024570","GO:0005515"
"Solyc00g024670","GO:0008375"
"Solyc00g024680","GO:0003677"
"Solyc00g025500","GO:0003700"
"Solyc00g025510","GO:0051287"
"Solyc00g025540","GO:0003700"
"Solyc00g025650","GO:0003676"
"Solyc00g026160","GO:0016020"
"Solyc00g026160","GO:0016491"
"Solyc00g026860","GO:0003723"
"Solyc00g026860","GO:0004349"
"Solyc00g026860","GO:0004349"
"Solyc00g026860","GO:0005737"
"Solyc00g026860","GO:0006561"
"Solyc00g026870","GO:0003735"
"Solyc00g026875","GO:0003723"
