"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g022107"	-2.23577828231523	4.08312871686692	8.04878575087203e-06	0.00224838997195491	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g032945"	-1.84511660727668	6.27054530763399	0.000136376091979099	0.0189352958478672	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g042852"	-3.00872622031326	3.76475439636099	5.46619162416089e-07	0.000278835187958555	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g117657"	-1.98549013344381	5.40676707514294	5.26845138955976e-05	0.00944719031151055	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g141565"	-2.24103767545175	4.50726263862207	8.679683991583e-06	0.00234102051566086	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g147573"	-2.0747905831248	4.45591320034861	1.98479494045014e-05	0.00444264425817302	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g170510"	-1.94630612049786	3.40194951790637	0.000204756831223754	0.0248943991951575	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g171710"	-2.01469742556041	3.25770425122668	7.70018011532466e-05	0.012725571504254	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g171810"	-1.93465896263269	3.30712661248113	0.000120447036004573	0.0173392006125601	"ATP synthase subunit a (AHRD V1 ***- Q45KQ5_CAPAN); contains Interpro domain(s)  IPR000568  ATPase, F0 complex, subunit A "	"ATMG00410"	"ATP6"	"ATPase subunit 6"	59.57	324	4e-74	275	78.13411079
"Solyc00g172410"	-1.82031119471786	3.34492372026517	0.000317752991262908	0.0339400611866928	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g173430"	-1.95033192052716	3.25958717308428	0.000118878459570955	0.0172411016734204	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g174340"	-1.99338288740398	3.24986797538865	8.44857516563138e-05	0.0133962702372469	"Pathogenesis-related protein 1b (AHRD V1 ***- Q941G6_SOLTU); contains Interpro domain(s)  IPR018244  Allergen V5/Tpx-1 related, conserved site "	"AT4G33720"	NA	"pathogenesis-related protein, putative; similar to ATPRB1 (Arabidopsis thaliana basic pathogenesis-related protein 1) [Arabidopsis thaliana] (TAIR:AT2G14580.1); similar to pathogenesis-related protein 1a [Malus x domestica] (GB:ABC47922.1); contains InterPro domain Ves allergen; (InterPro:IPR002413); contains InterPro domain Allergen V5/Tpx-1 related; (InterPro:IPR001283)"	55.83	163	3e-48	187	98.75
"Solyc00g212265"	-2.11608619727545	6.28268540524958	1.60268622293664e-05	0.00376070322212083	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g213960"	-2.61817649793552	2.74638853467371	1.29753846265269e-06	0.000516046441121109	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g215560"	-3.17693288696681	3.48214788603676	1.09167503174328e-08	2.83422217106199e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g215565"	-2.83773118091266	2.95586748429059	1.3612435915309e-07	9.12616596436357e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
