"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005092"	0.874228389273784	4.54929472306487	0.00536268603197579	0.0447917150892871	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g005840"	1.46212993158144	5.07341574070665	3.32729627174782e-06	0.000118826002399891	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006568"	1.33701424098849	4.79534911100504	2.58979976755595e-05	0.000681548469678344	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006680"	1.99539034163983	8.36149327020388	6.49449143638708e-11	7.60696753424697e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007080"	-1.06294033763829	3.62446507991582	0.00146901297526164	0.017197569818107	"Unknown Protein (AHRD V1); contains Interpro domain(s)  IPR007514  CHD5-like protein "	"AT4G16444"	NA	"similar to Os06g0198700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001057061.1); contains domain NITRATE, FROMATE, IRON DEHYDROGENASE (PTHR11615); contains domain gb def: Hypothetical protein (PTHR11615:SF3)"	53.05	164	1e-36	149	95.32163743
"Solyc00g007090"	-1.09834057087457	3.91877970174591	0.00114682820248648	0.0142367920622786	"Multi-pass transmembrane protein (AHRD V1 *--- Q5CMR0_CRYHO); contains Interpro domain(s)  IPR019328  GPI-GlcNAc transferase complex, PIG-H component "	"AT4G35530"	NA	"phosphatidylinositolglycan-related; similar to Os05g0165400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001054745.1); similar to Os01g0166400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001042115.1); contains domain gb def: Hypothetical protein (PTHR15231:SF1); contains domain FAMILY NOT NAMED (PTHR15231)"	55.68	185	4e-51	197	96.75675676
"Solyc00g007200"	1.0553468664545	3.83453646349674	0.00128402823519326	0.0155140258069368	"MLO-like protein 3 (AHRD V1 ***- C6EWE6_VITVI); contains Interpro domain(s)  IPR004326  Mlo-related protein "	"AT2G17480"	"ATMLO8"	"A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resistance locus o (MLO) protein. The Arabidopsis genome contains 15 genes encoding MLO proteins, with localization in plasma membrane. Phylogenetic analysis revealed four clades of closely-related AtMLO genes. ATMLO8 belongs to the clade III, with AtMLO5, AtMLO7, AtMLO9, and AtMLO10. The gene is expressed during seedling growth, in cotyledons and hypocotyl, and in fruit abscission zone, as shown by GUS activity patterns. The expression of several phylogenetically closely-related AtMLO genes showed similar or overlapping tissue specificity and analogous responsiveness to external stimuli, suggesting functional redundancy, co-function, or antagonistic function(s)."	62.21	561	0	651	97.65765766
"Solyc00g008570"	2.15114511196191	10.9506986434286	2.02639337493868e-12	3.36828298778411e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008580"	2.58654330977158	6.01381820005316	5.51841830393309e-16	1.78213377398159e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008910"	2.31325825311865	2.78513729709072	1.39005123254581e-09	1.30387959182284e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008915"	2.82526067575547	3.3304687383491	3.8631850436112e-14	9.49251751042118e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009030"	2.34745610140499	2.29236979682645	9.42694037809175e-09	7.29813062284733e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009110"	1.5140312910103	2.27536742489038	0.000108655772218873	0.00221485336950392	"Inositol-1 4 5-trisphosphate 5-Phosphatase-like protein (AHRD V1 *-*- Q9M1W5_ARATH); contains Interpro domain(s)  IPR000300  Inositol polyphosphate related phosphatase "	"AT1G71710"	NA	"inositol polyphosphate 5-phosphatase, putative; similar to IP5PI (INOSITOL POLYPHOSPHATE 5-PHOSPHATASE I), inositol-polyphosphate 5-phosphatase [Arabidopsis thaliana] (TAIR:AT1G34120.1); similar to Os01g0716800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044072.1); similar to putative inositol-1,4,5-trisphosphate 5-phosphatase [Oryza sativa (japonica cultivar-group)] (GB:AAS75232.1); similar to Os01g0183300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001042225.1); contains InterPro domain Inositol polyphosphate related phosphatase; (InterPro:IPR000300); contains InterPro domain Endonuclease/exonuclease/phosphatase; (InterPro:IPR005135)"	54.19	657	0	669	96.32465544
