"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005092"	-2.60528398636897	5.60907834480599	0.000703090763714202	0.0141339596010738	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006568"	-6.40183121014141	9.13752678181526	1.93534689232034e-12	4.85663342618903e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007160"	-2.38417998641531	4.17479475344597	0.00195727375741471	0.0336259631523847	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g026165"	-5.80911355150926	7.17414198764009	6.37216191966656e-11	8.13233510364759e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g030105"	-7.52238874541382	8.02339066419829	5.44345769552437e-15	1.40581517954633e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g032945"	-4.96540942962367	9.42363849737751	4.98367491447541e-09	3.83429749135913e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g052430"	-6.11475603769452	7.32999062830802	1.22598081297597e-11	2.20814963524236e-09	"Cytochrome c biogenesis FC (AHRD V1 ***- D5I3C4_CITLA)"	"ATMG00180"	"CCB452"	"cytochrome c biogenesis orf452"	89.29	364	4e-167	584	94.47368421
"Solyc00g069883"	-3.81168799762674	8.10778356490203	2.19232529994852e-06	8.80636569227522e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g071180"	-5.17555131848331	6.23644638326036	2.232763928924e-09	1.88888445411321e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g072805"	-4.61294889227114	6.72289135793245	3.86536546720903e-08	2.38638079548074e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g090115"	-4.41666696105872	7.31285924322102	1.02727594970057e-07	5.70725897030163e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g100885"	-6.02993453044641	10.2771333104475	1.41049401871617e-11	2.46378194337276e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g125275"	-6.00793436826137	7.26033703792796	2.21961276907356e-11	3.61845486018168e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g128875"	-5.89115573768147	10.5415095055142	3.01601232126333e-11	4.6454909781445e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g143777"	-4.6184654417965	7.61760028119845	3.45263659296198e-08	2.17828208099471e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g167805"	-5.57651656905431	9.84194631316051	1.74616331613712e-10	1.95973927148776e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g170210"	-3.27397186931679	5.8662942162825	3.3734378289788e-05	0.00102646267673587	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g170515"	-6.82788351258403	8.06734406860251	2.056026101938e-13	9.96851305212912e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g174345"	-5.86757487169052	7.69208828386594	4.14217911499264e-11	5.81832882731104e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g179240"	-3.84064209186577	5.99929499923529	2.14901917112989e-06	8.66357295451534e-05	"MADS-box transcription factor (AHRD V1 ***- Q1EMR8_PLAMJ); contains Interpro domain(s)  IPR002100  Transcription factor, MADS-box "	"AT2G45660"	"AGL20"	"Controls flowering and is required for CO to promote flowering. It acts downstream of FT. Overexpression of (SOC1) AGL20 suppresses not only the late flowering of plants that have functional FRI and FLC alleles but also the delayed phase transitions during the vegetative stages of"	94.34	53	3e-24	106	94.54545455
"Solyc00g183555"	-7.0215662930881	9.05521254824864	6.23368756292758e-14	4.97221894646264e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g212265"	-7.16022758101024	9.50999153649195	2.73832889084395e-14	2.91227797371947e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g222065"	-6.84448318032683	8.19162625589937	1.97721344801512e-13	9.96851305212912e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g222067"	-6.4254582028058	8.96492101779189	1.686380513541e-12	4.49223507899067e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g244305"	-6.95047645058013	9.08438554938151	9.25916315996496e-14	6.34912635414142e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g247305"	-7.23722402663417	9.27521341706186	1.77504739037242e-14	2.20243935647653e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g277510"	-6.11673374055124	7.79631998861208	1.05602895568092e-11	1.92185427386133e-09	"Photosystem Q(B) protein (AHRD V1 ***- Q95B48_PRUPE); contains Interpro domain(s)  IPR000484  Photosynthetic reaction centre, L/M "	"ATCG00020"	"PSBA"	"Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core"	91.04	67	4e-23	102	97.01492537
"Solyc00g294233"	-5.31997602086847	9.390608121588	7.32643604865637e-10	7.20830937051504e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g304030"	-5.3687172623802	6.58379044912787	7.45720524453058e-10	7.27569979363657e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g304035"	-4.54349803859129	9.09084590320439	4.80657820014891e-08	2.89353416501686e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005080"	-2.66244929149615	4.36252966133802	0.000619343215921816	0.0126438860917713	"Microtubule-associated protein MAP65-1a (AHRD V1 **** C0J9Z7_ORYNI); contains Interpro domain(s)  IPR007145  MAP65/ASE1 "	"AT2G01910"	"ATMAP65-6"	"Binds microtubules. Induces a crisscross mesh of microtubules, not bundles.  Not involved in microtubule polymerization nor nucleation. Localizes to mitochondria."	67.2	567	0	732	99.64285714
"Solyc01g005570"	-3.34478357256822	7.4407959251558	2.22508768498052e-05	0.000707907526443802	"Unknown Protein (AHRD V1); contains Interpro domain(s)  IPR012438  Protein of unknown function DUF1639 "	"AT1G55340"	NA	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G03880.1); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:AAV67822.1); similar to Os03g0807200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051641.1); contains InterPro domain Protein of unknown function DUF1639; (InterPro:IPR012438)"	84.27	89	2e-39	156	92.63157895
"Solyc01g005850"	-3.04573514876484	5.57478563044412	0.000102048176216655	0.0026625513640453	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005860"	-3.26729734520058	5.86199438807611	3.59294693940583e-05	0.0010771124422106	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005880"	-4.59294988055734	6.65164761109821	4.32704892650652e-08	2.64044564821302e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g006080"	-2.9781557404303	5.31970699131983	0.000137296521731021	0.00345702425743024	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g006340"	-3.23573196019265	6.54753319753056	3.85465707047937e-05	0.00114939801084227	"ATP dependent RNA helicase (AHRD V1 ***- B3LKV6_YEAS1); contains Interpro domain(s)  IPR011545  DNA/RNA helicase, DEAD/DEAH box type, N-terminal "	"AT3G02065"	NA	"ATP binding / ATP-dependent helicase; Identical to DEAD-box ATP-dependent RNA helicase 41 (EC 3.6.1.-) (RH41) [Arabidopsis Thaliana] (GB:Q3EBD3;GB:Q8VZ85); similar to DEAD box RNA helicase, putative [Arabidopsis thaliana] (TAIR:AT2G42520.1); similar to putative DEAD box [Oryza sativa (japonica cultivar-group)] (GB:BAD15860.1); contains InterPro domain DEAD/DEAH box helicase; (InterPro:IPR001410); contains InterPro domain Zinc finger, HIT-type; (InterPro:IPR007529); contains InterPro domain DEAD/DEAH box helicase, N-terminal; (InterPro:IPR011545); contains InterPro domain Helicase, C-terminal; (InterPro:IPR001650)"	65.1	510	0	692	98.25242718
"Solyc01g006440"	-2.43486580070181	4.19248231715763	0.0016497955256777	0.0289662992522599	"Peptide transporter-like protein (AHRD V1 **-* Q9SVS9_ARATH); contains Interpro domain(s)  IPR000109  TGF-beta receptor, type I/II extracellular region "	"AT5G19640"	NA	"proton-dependent oligopeptide transport (POT) family protein; similar to proton-dependent oligopeptide transport (POT) family protein [Arabidopsis thaliana] (TAIR:AT1G32450.1); similar to TGF-beta receptor, type I/II extracellular re (GB:ABE93353.1); similar to TGF-beta receptor, type I/II extracellular re (GB:ABD32535.1); similar to TGF-beta receptor, type I/II extracellular re (GB:ABE93051.1); contains InterPro domain TGF-beta receptor, type I/II extracellular region; (InterPro:IPR000109)"	64.59	545	0	697	90.31719533
"Solyc01g007895"	-2.50089730855142	4.43598077132914	0.00119057844706062	0.022183728796941	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g007960"	-2.98492860861524	5.95153920986931	0.000127450536677204	0.00323463668880532	"RLK, Receptor like protein, putative resistance protein with an antifungal domain"	"AT1G70520"	"CRK2"	"protein kinase family protein; similar to protein kinase family protein [Arabidopsis thaliana] (TAIR:AT1G70530.1); similar to Protein kinase domain containing protein, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABA93633.2); similar to Os05g0130100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001054549.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Protein of unknown function DUF26; (InterPro:IPR002902); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271)"	63.85	628	0	792	95.39877301
"Solyc01g008240"	-2.28527984784394	5.38304615965094	0.00262477613499744	0.0431359456946525	"Solute carrier family 2, facilitated glucose transporter member 3 (AHRD V1 ***- GTR3_BOVIN); contains Interpro domain(s)  IPR003663  Sugar/inositol transporter "	"AT3G19940"	NA	"sugar transporter, putative; Identical to Sugar transport protein 10 (Hexose transporter 10) (STP10) [Arabidopsis Thaliana] (GB:Q9LT15;GB:O81707); similar to STP11 (SUGAR TRANSPORTER 11), carbohydrate transporter/ sugar porter [Arabidopsis thaliana] (TAIR:AT5G23270.1); similar to STP4 (SUGAR TRANSPORTER 4), carbohydrate transporter/ sugar porter [Arabidopsis thaliana] (TAIR:AT3G19930.1); similar to monosaccharide transporter (STP9) [Arabidopsis thaliana] (TAIR:AT1G50310.1); similar to putative monosaccharide transporter 1 [Petunia x hybrida] (GB:AAC61852.1); similar to monosaccharide transport protein 1 [Zea mays] (GB:AAT90503.1); similar to monosaccharid transporter [Nicotiana tabacum] (GB:CAA47324.1); contains InterPro domain Sugar transporter; (InterPro:IPR003663); contains InterPro domain Sugar transporter superfamily; (InterPro:IPR005829); contains InterPro domain Major facilitator superfamily; (InterPro:IPR007114); contains InterPro domain General substrate transporter; (InterPro:IPR005828)"	68.94	483	0	630	95.256917
"Solyc01g008530"	-3.77217594656322	7.56113393933581	2.73501104093241e-06	0.000107661759594306	"Cinnamoyl CoA reductase-like protein (AHRD V1 ***- B9HNY0_POPTR); contains Interpro domain(s)  IPR016040  NAD(P)-binding domain "	"AT1G51410"	NA	"similar to Eucalyptus gunnii alcohol dehydrogenase of unknown physiological function (GI:1143445), apple tree, PIR:T16995; NOT a cinnamyl-alcohol dehydrogenase"	74.45	317	1e-144	509	96.04863222
