"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005040"	1.87090640782788	3.48913009851033	0.00091813656336681	0.0191217805736404	"Potassium channel (AHRD V1 ***- D0EM91_9ROSI); contains Interpro domain(s)  IPR000595  Cyclic nucleotide-binding "	"AT5G46240"	"KAT1"	"potassium channel protein (KAT1)"	66.02	103	2e-37	150	85.71428571
"Solyc00g005092"	2.70356778785287	5.79199265404235	1.36380208647453e-06	4.76318945101468e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g005445"	6.18175542824251	6.47572734283665	1.69752658392546e-20	6.50152681643451e-18	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006568"	5.93929399569182	8.78460901087404	3.10046264004775e-20	1.07786391195629e-17	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007160"	2.52270683912051	4.37698423071106	8.19315216142911e-06	0.000257497440044247	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008570"	1.67740121984429	10.4311903633609	0.00164117331559058	0.0315353685479594	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008915"	5.15205233646057	5.3418462046362	8.65808452009818e-16	9.26307016586669e-14	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009765"	2.33493900027593	4.53167795428152	3.07166667977237e-05	0.000881962540823587	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010410"	2.23017732258179	4.43143428970036	6.77736262164034e-05	0.00182536428082487	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010420"	2.23317540807634	4.44094505985859	6.83517451329057e-05	0.00183874331520032	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010520"	2.46258047333705	4.72160414494947	1.14478244546841e-05	0.000349104573822532	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010525"	2.07636843098333	8.73442607975339	0.000120901806416026	0.00310809797449708	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010780"	2.51627446327443	3.27618542837427	1.92214735726985e-05	0.00057001002404497	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010930"	2.64905527133989	3.40290761603745	6.23834683163006e-06	0.000199388859058479	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011150"	1.99235265213641	5.45603682955137	0.000267396895650052	0.00637380553903398	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011160"	1.81280397093971	8.35752103179857	0.000716610730353981	0.0153782076674349	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011170"	1.9054313378078	4.41249828332618	0.000552267646232923	0.0121515014624395	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g012440"	1.88762692094732	8.24815039941535	0.000441402444423331	0.00988540241489991	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g022107"	5.68340823719467	6.07217910814335	2.45436512094731e-18	4.78114557224537e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g026160"	2.30772776927684	3.99485754521521	4.86404445713296e-05	0.00134862346745808	"Ferric reductase oxidase (AHRD V1 **** D6RVS5_HORVU); contains Interpro domain(s)  IPR013121  Ferric reductase, NAD binding "	"AT5G23980"	"ATFRO4"	"Encodes a ferric chelate reductase that is expressed at low levels in roots,shoots and cotyledons, but not flowers. Its transcription is regulated by FIT1."	58.46	455	3e-140	495	99.5505618
"Solyc00g026165"	5.83791182453972	7.30307897593672	1.65385986180649e-19	4.6138606539804e-17	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g030105"	6.51315907493024	7.1203477335618	3.16232626799079e-22	3.9699492598771e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g030215"	3.27018716339446	3.84369354126612	5.06758287981949e-08	2.10887974834772e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g032945"	2.59410431323398	7.32899488988128	2.64081852183632e-06	8.90665315491573e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g042852"	7.31224552967852	6.08214323223658	4.48115614054527e-24	1.96351944153198e-20	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g044350"	2.88194696820014	4.70073247626771	4.79200587324482e-07	1.80174636801519e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g052430"	5.61762792432244	6.93863097829152	1.89502526723333e-18	3.78954743041342e-16	"Cytochrome c biogenesis FC (AHRD V1 ***- D5I3C4_CITLA)"	"ATMG00180"	"CCB452"	"cytochrome c biogenesis orf452"	89.29	364	4e-167	584	94.47368421
"Solyc00g069883"	3.04589899298322	7.50920088863419	6.22774596234782e-08	2.58217202772796e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g071180"	5.51737311089798	6.67056385009465	6.68681425536697e-18	1.16232262868098e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g072805"	4.53559014318429	6.74776518835017	7.62126416408723e-14	5.8978666546534e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g090115"	3.48808705103742	6.53837138012385	1.49763163338008e-09	7.48716416360391e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
