"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005092"	-1.42871764885862	5.3088539110216	0.000590137916429352	0.0218425967226978	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g005445"	-1.61091164276079	2.91891038612911	0.000328006324869252	0.0135370822713296	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007200"	-2.0837746815842	4.50823403874065	1.57997189025827e-06	0.000184208922685211	"MLO-like protein 3 (AHRD V1 ***- C6EWE6_VITVI); contains Interpro domain(s)  IPR004326  Mlo-related protein "	"AT2G17480"	"ATMLO8"	"A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resistance locus o (MLO) protein. The Arabidopsis genome contains 15 genes encoding MLO proteins, with localization in plasma membrane. Phylogenetic analysis revealed four clades of closely-related AtMLO genes. ATMLO8 belongs to the clade III, with AtMLO5, AtMLO7, AtMLO9, and AtMLO10. The gene is expressed during seedling growth, in cotyledons and hypocotyl, and in fruit abscission zone, as shown by GUS activity patterns. The expression of several phylogenetically closely-related AtMLO genes showed similar or overlapping tissue specificity and analogous responsiveness to external stimuli, suggesting functional redundancy, co-function, or antagonistic function(s)."	62.21	561	0	651	97.65765766
"Solyc00g026165"	-1.43417552722707	3.23582828823797	0.00103981694795893	0.0333055653743219	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g030105"	-1.40425364075834	2.95681043031162	0.00161591404071017	0.04670652213074	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g052430"	-2.00777804653503	3.86648341421302	4.33863551809128e-06	0.000398300405554537	"Cytochrome c biogenesis FC (AHRD V1 ***- D5I3C4_CITLA)"	"ATMG00180"	"CCB452"	"cytochrome c biogenesis orf452"	89.29	364	4e-167	584	94.47368421
"Solyc00g072100"	-2.10821056949809	3.14739891312757	5.7440848405244e-06	0.000501650076072464	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g072805"	-1.64482773201684	4.31717686312186	0.000122632169934939	0.00635452653009537	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g075035"	2.4975968028699	2.82226583551958	1.52097282791935e-07	2.44593409664989e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g085070"	-2.90415472583595	6.68039502506111	2.49894191988376e-11	2.15816028473517e-08	"Squalene monooxygenase (AHRD V1 ***- Q506K3_DATIN); contains Interpro domain(s)  IPR013698  Squalene epoxidase "	"AT4G37760"	"SQE3"	"squalene monooxygenase, putative / squalene epoxidase, putative; similar to XF1, oxidoreductase [Arabidopsis thaliana] (TAIR:AT1G58440.1); similar to squalene monooxygenase, putative / squalene epoxidase, putative [Arabidopsis thaliana] (TAIR:AT2G22830.1); similar to squalene monooxygenase [Datura innoxia] (GB:AAY22200.1); similar to squalene monooxygenase 2 [Medicago truncatula] (GB:CAD23248.1); similar to putative squalene epoxidase [Lycopersicon esculentum] (GB:AAQ13595.1); contains InterPro domain NAD-binding site; (InterPro:IPR000205); contains InterPro domain Squalene epoxidase; (InterPro:IPR013698); contains InterPro domain FAD dependent oxidoreductase; (InterPro:IPR006076); contains InterPro domain Aromatic-ring hydroxylase; (InterPro:IPR003042)"	81.45	442	0	753	95.04310345
