"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g006568"	-3.87423648219839	6.21097964667941	1.27376717489653e-24	7.21206974426413e-22	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006680"	-2.03499346117512	10.5916477943206	1.46153969695681e-08	7.21153617792544e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007150"	1.91026424346049	5.42598035468545	6.53699251757103e-06	0.000210597164349856	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008570"	-2.35896065417481	13.2107886045339	5.46249750151245e-11	3.70403123994772e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008580"	-2.18526970912576	7.93220717390423	1.44454888911907e-09	8.34595490835934e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008800"	-1.93388471028042	4.97838953183231	1.56202431287618e-07	6.61247226878875e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008910"	-2.00851972164544	5.02676149098725	5.01985993690413e-08	2.33929604631697e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008915"	-2.28361827813076	5.251471595139	5.25546945705829e-10	3.15718494067523e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009030"	-2.19161821974657	4.26483283593717	5.56188329400607e-09	2.96389489041528e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009040"	-2.20936723308939	4.22357398445007	4.30925964919969e-09	2.31819744738894e-07	"Polyadenylate-binding protein 2 (AHRD V1 **** B6U4M0_MAIZE); contains Interpro domain(s)  IPR006515  Polyadenylate binding protein, human types 1, 2, 3, 4 "	"AT1G71770"	"PAB5"	"Encodes a Class I polyA-binding protein. Expressed in floral organs. Binds polyA sepharose in vitro."	56.11	622	3e-179	625	91.23076923
"Solyc00g009050"	-1.56056690380925	4.23126695865627	3.49789712361732e-05	0.000974420345088377	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009060"	-4.05297161355689	5.31143334082113	4.23926817061801e-26	3.0003420477549e-23	"Hypoxanthine phosphoribosyltransferase (AHRD V1 ***- B4UWA8_ARAHY); contains Interpro domain(s)  IPR005904  Hypoxanthine phosphoribosyl transferase "	"AT1G71750"	"HGPT"	"phosphoribosyltransferase family protein; similar to Hypoxanthine phosphoribosyl transferase [Desulfotomaculum reducens MI-1] (GB:ZP_01148584.1); contains InterPro domain Hypoxanthine phosphoribosyl transferase; (InterPro:IPR005904); contains InterPro domain Phosphoribosyltransferase; (InterPro:IPR000836); contains InterPro domain Purine/pyrimidine phosphoribosyl transferase; (InterPro:IPR002375)"	60.71	196	6e-67	250	97.5
"Solyc00g009070"	-2.18775731919087	3.57238529300673	1.22756402805772e-08	6.16449448058784e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009080"	-1.142473017554	4.36593860675606	0.00249061203503488	0.0411132517270189	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009110"	-1.80343298282644	2.39548055048367	1.21161706318129e-05	0.000369820798476145	"Inositol-1 4 5-trisphosphate 5-Phosphatase-like protein (AHRD V1 *-*- Q9M1W5_ARATH); contains Interpro domain(s)  IPR000300  Inositol polyphosphate related phosphatase "	"AT1G71710"	NA	"inositol polyphosphate 5-phosphatase, putative; similar to IP5PI (INOSITOL POLYPHOSPHATE 5-PHOSPHATASE I), inositol-polyphosphate 5-phosphatase [Arabidopsis thaliana] (TAIR:AT1G34120.1); similar to Os01g0716800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044072.1); similar to putative inositol-1,4,5-trisphosphate 5-phosphatase [Oryza sativa (japonica cultivar-group)] (GB:AAS75232.1); similar to Os01g0183300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001042225.1); contains InterPro domain Inositol polyphosphate related phosphatase; (InterPro:IPR000300); contains InterPro domain Endonuclease/exonuclease/phosphatase; (InterPro:IPR005135)"	54.19	657	0	669	96.32465544
"Solyc00g009146"	-2.95958256925591	3.59452944959292	4.11770460571769e-14	4.29759326775549e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009760"	-2.58499178332081	11.7354246800103	7.55906254169214e-13	6.71363327232328e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009765"	-3.14487916647197	7.36526225270222	6.99055261706427e-18	1.14726112805269e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010410"	-3.1427701208386	7.35907596372849	7.32359377436892e-18	1.18049219079685e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010420"	-3.14260326817871	7.35967442572819	7.34940828781151e-18	1.18049219079685e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010520"	-3.19464204244064	7.46457163049842	2.22625745636523e-18	3.97010069856375e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010525"	-3.0570831023753	11.7583429493909	3.84542702079542e-17	5.68492336001046e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010530"	-2.44024159806379	8.57883584824463	1.35063693915709e-11	1.01625333548272e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010750"	-1.90015204167561	7.24083480842549	1.37766997772438e-07	5.89819842259011e-06	"Guanylate binding protein 2 (AHRD V1 ***- B2XWS2_PIG); contains Interpro domain(s)  IPR015894  Guanylate-binding protein, N-terminal "	"AT5G46070"	NA	"GTP binding / GTPase; similar to guanylate-binding family protein [Arabidopsis thaliana] (TAIR:AT1G03830.1); similar to Guanylate-binding protein, N-terminal domain containing protein [Tetrahymena thermophila SB210] (GB:XP_001018996.1); similar to Os02g0307000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001046641.1); contains InterPro domain Guanylate-binding protein; (InterPro:IPR003191)"	63.1	187	4e-64	241	83.78378378
"Solyc00g010755"	-3.24206536194704	6.26137605584062	1.91059991696812e-18	3.46170135355952e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010780"	-3.67481051823601	6.04749171115197	1.05924016380989e-22	3.93273298851908e-20	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010930"	-3.68709083698538	6.05236793497758	7.40766465509935e-23	2.89256532946017e-20	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011150"	-2.39224665726783	7.98909377322162	3.69691182484483e-11	2.57623566181802e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011160"	-2.72570257990382	11.4096621059318	4.50480785854724e-14	4.65867070230036e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011170"	-2.4906390888472	6.32308476734319	8.09963057114473e-12	6.23947051616619e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011175"	-4.19897024741874	4.50447813746306	1.44093452843944e-26	1.16551018571773e-23	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011670"	-3.68451977605337	3.89245348943848	9.89865479488472e-21	2.76771276289567e-18	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011673"	-3.73302659474242	3.93467970309516	2.97566804416884e-21	9.36012914782444e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011677"	-3.88062652581121	4.06416637230869	8.49287520763577e-23	3.2601125034328e-20	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011870"	-3.52830776169325	3.94623194089008	2.5754090637125e-19	5.35118022706061e-17	"Phosphatase 1G (AHRD V1 ***- B5X3X4_SALSA); contains Interpro domain(s)  IPR015655  Protein phosphatase 2C "	"AT4G31860"	NA	"protein phosphatase 2C, putative / PP2C, putative; similar to protein phosphatase 2C, putative / PP2C, putative [Arabidopsis thaliana] (TAIR:AT2G25070.1); similar to Os06g0651600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001058229.1); similar to putative protein phosphatase type-2C [Oryza sativa (japonica cultivar-group)] (GB:BAD38121.1); similar to Os02g0180000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001046088.1); contains InterPro domain Protein phosphatase 2C-like; (InterPro:IPR001932)"	71	100	2e-37	150	80.48780488
"Solyc00g011880"	-1.96160202974517	4.46412546718464	2.00760522462938e-07	8.28201149861678e-06	"AIG2-like protein (AHRD V1 ***- B4FVZ7_MAIZE); contains Interpro domain(s)  IPR009288  AIG2-like "	"AT2G24390"	NA	"similar to avirulence-responsive protein-related / avirulence induced gene (AIG) protein-related [Arabidopsis thaliana] (TAIR:AT4G31310.1); similar to Os02g0141000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001045856.1); similar to hypothetical protein SNOG_11054 [Phaeosphaeria nodorum SN15] (GB:EAT81553.1); similar to conserved hypothetical protein [Caldicellulosiruptor saccharolyticus DSM 8903] (GB:ZP_00885054.1); contains InterPro domain AIG2-like; (InterPro:IPR009288)"	60.14	148	5e-48	186	92.99363057
"Solyc00g011890"	-1.28440812259015	4.9325728184706	0.000530114235222851	0.0112415985012426	"Galactokinase like protein (AHRD V1 **** O23461_ARATH); contains Interpro domain(s)  IPR012369  Galactokinase, glycosyltransferase "	"AT4G16130"	"ARA1"	"Similar to galactokinase."	79.22	977	0	1513	92.28543877
"Solyc00g011895"	-2.68267242175366	3.55761619904746	7.70952344480491e-12	5.95922481153384e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g012430"	-2.47208792815942	7.4620744079824	9.01577979776762e-12	6.89828989391355e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g012435"	-3.05927166878945	3.34158082002146	3.87326392558046e-14	4.06118895308085e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA
