"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g006568"	-3.32100398460954	6.46386146569925	6.27314470804421e-17	1.58421573548316e-14	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006680"	-2.87626182521655	10.5136960262923	7.70478365630123e-14	1.00099836681518e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007260"	-1.22872646113472	4.7954636102392	0.00175515517617153	0.025936139210803	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008570"	-2.85048826411053	13.2365986932318	1.20575399117905e-13	1.52250150032249e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008580"	-1.38733676238425	8.32305606946116	0.000248220854902216	0.00502613687818217	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008800"	-2.63382339138247	4.90817553729074	3.49917361985696e-11	2.83925726642256e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008910"	-2.70937179609552	4.96707960036147	9.80962834916994e-12	8.79694277678240e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008915"	-2.99303619108737	5.22807691250264	5.94702215827218e-14	8.09479244945501e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009030"	-2.78382690697307	4.24799606521468	6.02459169973946e-12	5.59540177865058e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009040"	-2.79481105940665	4.21000399179951	5.12186080125307e-12	4.91961296448564e-10	"Polyadenylate-binding protein 2 (AHRD V1 **** B6U4M0_MAIZE); contains Interpro domain(s)  IPR006515  Polyadenylate binding protein, human types 1, 2, 3, 4 "	"AT1G71770"	"PAB5"	"Encodes a Class I polyA-binding protein. Expressed in floral organs. Binds polyA sepharose in vitro."	56.11	622	3e-179	625	91.23076923
"Solyc00g009050"	-2.05279776194731	4.16322882291973	3.40404148337894e-07	1.40126806557555e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009060"	-4.48481441658162	5.46368192893056	1.44200040762386e-26	4.05130014521922e-23	"Hypoxanthine phosphoribosyltransferase (AHRD V1 ***- B4UWA8_ARAHY); contains Interpro domain(s)  IPR005904  Hypoxanthine phosphoribosyl transferase "	"AT1G71750"	"HGPT"	"phosphoribosyltransferase family protein; similar to Hypoxanthine phosphoribosyl transferase [Desulfotomaculum reducens MI-1] (GB:ZP_01148584.1); contains InterPro domain Hypoxanthine phosphoribosyl transferase; (InterPro:IPR005904); contains InterPro domain Phosphoribosyltransferase; (InterPro:IPR000836); contains InterPro domain Purine/pyrimidine phosphoribosyl transferase; (InterPro:IPR002375)"	60.71	196	6e-67	250	97.5
"Solyc00g009070"	-2.66548170443198	3.58075331448981	1.53523089125346e-10	1.109512846039e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009080"	-1.51178113801814	4.288350630326	0.000139518323255323	0.00303270196662152	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009090"	-1.69802040264567	4.76281873013726	1.52785351628182e-05	0.000431950133735224	"Receptor like kinase, RLK"	"AT1G34110"	NA	"leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT3G24240.1); similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT5G48940.1); similar to ATP binding / protein serine/threonine kinase [Arabidopsis thaliana] (TAIR:AT5G56040.2); similar to putative Receptor-like protein kinase precursor [Oryza sativa (japonica cultivar-group)] (GB:BAD46328.1); similar to receptor protein kinase [Pinus sylvestris] (GB:CAC20842.1); similar to CLAVATA-like kinase [Triticum aestivum] (GB:CAJ19346.1); contains InterPro domain Serine/threonine protein kinase; (InterPro:IPR002290); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Leucine-rich repeat, typical subtype; (InterPro:IPR003591); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271); contains InterPro domain Leucine rich repeat, N-terminal; (InterPro:IPR013210)"	73.97	1064	0	1330	96.41873278
"Solyc00g009146"	-2.73976910504879	3.81429249433022	7.93857428115834e-11	6.02795255213902e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009148"	-3.14322050860378	3.64767426610796	3.00198509585282e-13	3.6081613376678e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
