ITAG	logFC	logCPM	PValue	FDR	SGN_annotation	AGI	symbol	gene_name	X..identity	alignment.length	e.value	bit.score	percent.query.align
Solyc00g005092	-1.428717649	5.308853911	0.000590138	0.021842597	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g005445	-1.610911643	2.918910386	0.000328006	0.013537082	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g007200	-2.083774682	4.508234039	1.58E-06	0.000184209	MLO-like protein 3 (AHRD V1 ***- C6EWE6_VITVI); contains Interpro domain(s)  IPR004326  Mlo-related protein 	AT2G17480	ATMLO8	"A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resistance locus o (MLO) protein. The Arabidopsis genome contains 15 genes encoding MLO proteins, with localization in plasma membrane. Phylogenetic analysis revealed four clades of closely-related AtMLO genes. ATMLO8 belongs to the clade III, with AtMLO5, AtMLO7, AtMLO9, and AtMLO10. The gene is expressed during seedling growth, in cotyledons and hypocotyl, and in fruit abscission zone, as shown by GUS activity patterns. The expression of several phylogenetically closely-related AtMLO genes showed similar or overlapping tissue specificity and analogous responsiveness to external stimuli, suggesting functional redundancy, co-function, or antagonistic function(s)."	62.21	561	0	651	97.65765766
Solyc00g026165	-1.434175527	3.235828288	0.001039817	0.033305565	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g030105	-1.404253641	2.95681043	0.001615914	0.046706522	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g052430	-2.007778047	3.866483414	4.34E-06	0.0003983	Cytochrome c biogenesis FC (AHRD V1 ***- D5I3C4_CITLA)	ATMG00180	CCB452	cytochrome c biogenesis orf452	89.29	364	4.00E-167	584	94.47368421
Solyc00g072100	-2.108210569	3.147398913	5.74E-06	0.00050165	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g072805	-1.644827732	4.317176863	0.000122632	0.006354527	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g075035	2.497596803	2.822265836	1.52E-07	2.45E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g085070	-2.904154726	6.680395025	2.50E-11	2.16E-08	Squalene monooxygenase (AHRD V1 ***- Q506K3_DATIN); contains Interpro domain(s)  IPR013698  Squalene epoxidase 	AT4G37760	SQE3	"squalene monooxygenase, putative / squalene epoxidase, putative; similar to XF1, oxidoreductase [Arabidopsis thaliana] (TAIR:AT1G58440.1); similar to squalene monooxygenase, putative / squalene epoxidase, putative [Arabidopsis thaliana] (TAIR:AT2G22830.1); similar to squalene monooxygenase [Datura innoxia] (GB:AAY22200.1); similar to squalene monooxygenase 2 [Medicago truncatula] (GB:CAD23248.1); similar to putative squalene epoxidase [Lycopersicon esculentum] (GB:AAQ13595.1); contains InterPro domain NAD-binding site; (InterPro:IPR000205); contains InterPro domain Squalene epoxidase; (InterPro:IPR013698); contains InterPro domain FAD dependent oxidoreductase; (InterPro:IPR006076); contains InterPro domain Aromatic-ring hydroxylase; (InterPro:IPR003042)"	81.45	442	0	753	95.04310345
