"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005445"	5.21021970820131	6.46648688351652	1.16345491968303e-13	2.62667057749615e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006568"	4.57779511945949	8.78389609858359	1.00675978270977e-11	1.31725365205912e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008915"	2.32675419113787	5.55705629186211	0.000149589925175328	0.00500691394903698	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009145"	3.57761891926742	7.43834864246966	2.54736087225379e-08	1.57267094279518e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009146"	3.1904489887559	5.32011878975111	5.80630304040984e-07	2.88162815548616e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009148"	3.40762065180134	5.14484354570712	1.29438764002382e-07	7.11388032803546e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011175"	2.37430089370766	4.02621606850233	0.000183770040460271	0.00607153011724406	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g022107"	2.94199589551856	6.19962953360903	2.67232659555206e-06	0.00012019206414526	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g026160"	2.80270234883654	3.92670489467468	1.32070941852473e-05	0.000529848370902222	"Ferric reductase oxidase (AHRD V1 **** D6RVS5_HORVU); contains Interpro domain(s)  IPR013121  Ferric reductase, NAD binding "	"AT5G23980"	"ATFRO4"	"Encodes a ferric chelate reductase that is expressed at low levels in roots,shoots and cotyledons, but not flowers. Its transcription is regulated by FIT1."	58.46	455	3e-140	495	99.5505618
"Solyc00g026165"	5.307665772685	7.28129239808287	4.03702498735794e-14	1.23636687118674e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g030105"	5.40555447370331	7.10642616804319	1.68918373069365e-14	6.48308715840223e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g042852"	6.07078462445814	6.07315786217192	1.02397769242559e-15	6.98472527896159e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g044350"	1.93508415619166	4.85490174079944	0.00159013298933453	0.0429783831906051	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g052430"	4.47029428915661	6.94311282689841	3.33502014555329e-11	3.80350746315058e-09	"Cytochrome c biogenesis FC (AHRD V1 ***- D5I3C4_CITLA)"	"ATMG00180"	"CCB452"	"cytochrome c biogenesis orf452"	89.29	364	4e-167	584	94.47368421
"Solyc00g069680"	2.40839935310212	4.52358050152582	0.000120631976621978	0.00411542690022357	NA	NA	NA	NA	NA	NA	NA	NA	NA
