"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g006568"	2.94378544223525	6.73215162235828	1.61496460921686e-08	2.53086328795874e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006680"	3.24685341237663	10.6812486148888	6.03546565774615e-10	1.53135570908981e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007150"	-1.63139723686064	4.86647733854543	0.00107253427180779	0.0376588516227997	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008570"	3.31237681636682	13.3930872027103	3.01103808783229e-10	8.79099380355747e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008580"	2.14601311652641	8.22137053293846	1.98804084221958e-05	0.00118686595154694	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008800"	3.42280199705877	5.00537525352136	3.62516718737194e-10	1.03017584352611e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008910"	3.51176337827381	5.07310987099099	1.63738391376016e-10	5.2085915453687e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008915"	3.73917059098063	5.3723726761473	1.2750886866508e-11	6.1763557224065e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009030"	3.45843473150188	4.37153575178431	5.7833463125942e-10	1.49318539703311e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009040"	3.4109384432343	4.34017684253027	8.42343547546168e-10	2.06354804929327e-07	"Polyadenylate-binding protein 2 (AHRD V1 **** B6U4M0_MAIZE); contains Interpro domain(s)  IPR006515  Polyadenylate binding protein, human types 1, 2, 3, 4 "	"AT1G71770"	"PAB5"	"Encodes a Class I polyA-binding protein. Expressed in floral organs. Binds polyA sepharose in vitro."	56.11	622	3e-179	625	91.23076923
