"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005092"	1.14497158361349	4.80671608835576	4.62222011136694e-05	0.00430035575970956	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006680"	2.84369864398455	9.31319506886043	4.75681551181256e-22	6.40407274228554e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007150"	1.30759535400018	5.72013634955442	2.39594200671581e-06	0.000322564262986498	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008570"	2.7730625256695	11.710163991797	2.77832637266236e-21	3.02797884243445e-18	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008580"	2.90557804618338	6.53790993084843	7.37378319438669e-22	9.37576533166268e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008800"	3.13053677010169	3.76751922560237	7.60193430372037e-19	4.70231001106076e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008910"	3.15780777938702	3.76598265819215	3.50056244608389e-19	2.58443137753297e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008915"	3.08772173115113	3.80921507196889	6.09795070922276e-19	3.98753708234232e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009030"	2.81333544602916	2.91461985876014	3.56039934780946e-14	1.35959133357601e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009040"	2.8168000949382	2.86494875050128	4.12182999164046e-14	1.54649709866681e-11	"Polyadenylate-binding protein 2 (AHRD V1 **** B6U4M0_MAIZE); contains Interpro domain(s)  IPR006515  Polyadenylate binding protein, human types 1, 2, 3, 4 "	"AT1G71770"	"PAB5"	"Encodes a Class I polyA-binding protein. Expressed in floral organs. Binds polyA sepharose in vitro."	56.11	622	3e-179	625	91.23076923
"Solyc00g009050"	1.19346820868327	3.45439132525759	0.00011591766241903	0.00884192716376101	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009760"	2.33961513609926	10.1031418112224	2.57947656803158e-16	1.2048261267865e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009765"	2.76116863354348	5.27424191911903	6.50746880070224e-19	4.13712329004645e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010410"	2.77278054983829	5.26917702598929	5.53533303492871e-19	3.72609315207098e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010420"	2.76617516511376	5.27037452471321	5.40798068492938e-19	3.72609315207098e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010520"	2.73561733727229	5.33397848191005	9.59689214234602e-19	5.78010711741772e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010525"	2.7967067574194	9.72257772043044	1.59182744121428e-21	1.91748182353006e-18	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010530"	2.42614018605936	7.04676167654235	8.33437494199602e-17	4.14671389777093e-14	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010750"	1.80118055416321	6.1544094601693	2.35731235258868e-10	5.994645312633e-08	"Guanylate binding protein 2 (AHRD V1 ***- B2XWS2_PIG); contains Interpro domain(s)  IPR015894  Guanylate-binding protein, N-terminal "	"AT5G46070"	NA	"GTP binding / GTPase; similar to guanylate-binding family protein [Arabidopsis thaliana] (TAIR:AT1G03830.1); similar to Guanylate-binding protein, N-terminal domain containing protein [Tetrahymena thermophila SB210] (GB:XP_001018996.1); similar to Os02g0307000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001046641.1); contains InterPro domain Guanylate-binding protein; (InterPro:IPR003191)"	63.1	187	4e-64	241	83.78378378
"Solyc00g010755"	1.61930966432041	4.21653203653303	7.56301830693314e-08	1.36295118102975e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010780"	2.41362290750903	3.55860904359264	6.89244251137189e-13	2.22179340503899e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010930"	2.38897597995076	3.55583644028232	1.32911498642058e-12	3.89993008900099e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011150"	2.75257932112895	6.4600370367031	5.52855640497074e-20	4.8666180938679e-17	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011160"	2.87886074308512	9.6300539279587	1.7214375537606e-22	2.81418152092278e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011170"	1.99993973471509	4.81289516856392	2.11758532423497e-11	5.98335497725504e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g012430"	2.14270660158334	5.92726546804846	1.69735999016105e-13	5.88598152951758e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g012440"	3.24872991913278	9.81113907705141	4.50881003356039e-27	1.71988558730161e-23	NA	NA	NA	NA	NA	NA	NA	NA	NA
