"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005092"	1.52603034082059	5.7125375627501	0.000193482382019024	0.00373062696589273	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g005445"	5.63488298771629	5.85493256025795	1.07542057822476e-34	2.44600756175451e-32	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006568"	5.81793466350355	8.15771390784757	4.4713386547703e-39	1.68951694621458e-36	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006680"	-1.43631034148571	9.37080728196115	0.0015577763884442	0.0236820424737717	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006820"	-1.93066996654426	3.17889159969801	0.000169032990257403	0.00331098316284296	"Peptide transporter-like protein (AHRD V1 **-* Q9LYR6_ARATH); contains Interpro domain(s)  IPR000109  TGF-beta receptor, type I/II extracellular region "	"AT5G13400"	NA	"proton-dependent oligopeptide transport (POT) family protein; similar to proton-dependent oligopeptide transport (POT) family protein [Arabidopsis thaliana] (TAIR:AT5G01180.1); similar to Os01g0103100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001041755.1); similar to PREDICTED: similar to solute carrier family 15, member 4 [Canis familiaris] (GB:XP_548544.2); contains InterPro domain TGF-beta receptor, type I/II extracellular region; (InterPro:IPR000109)"	76.81	621	0	979	94.49541284
"Solyc00g007150"	-1.54627818407233	5.6040868168401	0.00078553599133862	0.0132108770058075	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007160"	1.51194218521832	4.29759073342773	0.000351451221702082	0.00639739531531833	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008580"	-1.34384997840906	6.6226802570234	0.00319393437254507	0.0427785196780473	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008915"	2.06646687602857	5.23157432697292	4.42110390526993e-07	1.28026206661012e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009146"	4.10327260346	4.67709641563752	2.94381968824451e-21	1.9932041571244e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011175"	2.83284373297466	3.45517584945396	5.18626324571453e-11	2.0876046229786e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g012440"	-1.36658852621659	9.90168056359646	0.00251891479890663	0.0352934312164986	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g022107"	5.05163098832479	5.46655194478746	4.47729224353827e-30	6.28080990355516e-28	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g026160"	2.85478987315977	3.44961727182856	2.00796157042146e-10	7.7369269260302e-09	"Ferric reductase oxidase (AHRD V1 **** D6RVS5_HORVU); contains Interpro domain(s)  IPR013121  Ferric reductase, NAD binding "	"AT5G23980"	"ATFRO4"	"Encodes a ferric chelate reductase that is expressed at low levels in roots,shoots and cotyledons, but not flowers. Its transcription is regulated by FIT1."	58.46	455	3e-140	495	99.5505618
"Solyc00g026165"	5.85561430605809	6.67073588995836	5.91038595911691e-38	1.8967481077292e-35	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g030105"	6.15108391944957	6.48622980921283	5.4053133352742e-41	2.94489012803416e-38	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g030215"	2.06164904736275	3.65843297537145	2.02413546998016e-06	5.51388623897968e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g030520"	1.72256355232255	2.79356355367272	9.33004479481574e-05	0.00194116304980594	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g032945"	1.37096821343972	7.28905330348365	0.000684076635898612	0.0117233821135309	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g042852"	6.25035200076266	5.44558910246822	2.79145433572582e-40	1.25760386005863e-37	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g044350"	2.38423430730055	4.35399533247443	2.26431050868091e-08	7.42941208499549e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g052430"	5.45031358669784	6.31567935383396	2.42313839414553e-34	5.40636791996641e-32	"Cytochrome c biogenesis FC (AHRD V1 ***- D5I3C4_CITLA)"	"ATMG00180"	"CCB452"	"cytochrome c biogenesis orf452"	89.29	364	4e-167	584	94.47368421
"Solyc00g058480"	3.29160864422478	3.4784908187802	8.40479322256742e-13	3.75761623711998e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g069680"	2.98093818556583	3.95767318135721	1.03368201412413e-11	4.35540801167014e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g069883"	2.31854172894861	7.18293204384551	9.96010987502727e-09	3.38167382669948e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g071180"	5.01787453977678	6.07294903633934	1.30005256303607e-29	1.76048158348243e-27	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g072805"	4.29208471981128	6.17429052545851	1.43216068393438e-23	1.13732977432308e-21	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g090110"	-1.64483618539563	3.21335053029787	0.00148985856966497	0.0228422229787573	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g090115"	2.52958528391321	6.19637959998661	5.52092338432337e-10	2.03043441325814e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g090130"	-1.60326464105781	3.17920569088842	0.00191902136280114	0.0281508537672776	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g095465"	3.70816724191826	5.16466895164297	2.14497131594192e-18	1.29178002618436e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g098560"	1.45958939935155	2.44629448822048	0.00131425507686289	0.0205534403776148	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g100885"	4.71296479823248	8.89494853450041	1.30396901074709e-28	1.59937602171582e-26	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g125275"	5.20275021925479	6.04510154115772	1.21879005643788e-31	1.98281907306738e-29	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g127870"	1.30920809195963	3.75769042090067	0.00219591036069926	0.0314639706544963	"Phosphatidylinositol N-acetylglucosaminyltransferase subunit P (AHRD V1 ***- B6TUG3_MAIZE); contains Interpro domain(s)  IPR013717  PIG-P "	"AT2G39445"	NA	NA	58.9	163	4e-47	183	94.67455621
"Solyc00g128875"	4.64566031427749	8.59148514884609	5.59627646762183e-28	6.52258551278491e-26	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g141565"	6.81484654289144	6.28867955831089	6.31139080131151e-46	1.34415411183932e-42	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g143777"	4.04671291254062	6.87571208225867	8.57980807747676e-22	6.05419168165807e-20	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g147573"	6.01709699603012	6.22319101982115	2.54168696841409e-39	1.00922204422096e-36	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g167805"	4.78035974807145	8.84734768230856	2.81261522447176e-29	3.62039213536812e-27	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g170210"	2.51307396919287	5.17489789441852	1.20991774810361e-09	4.36072970535742e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g170510"	5.3646943081153	4.11853451290513	2.90716140886e-29	3.72164318717832e-27	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g170515"	4.7021687210289	5.68233964551636	1.45129618779548e-26	1.50440335360552e-24	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g172410"	5.55479027147509	4.07043459251729	6.97062032385661e-30	9.54974984368356e-28	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g174345"	5.3558976611133	6.74604357493034	1.23854013958899e-33	2.42459241340658e-31	NA	NA	NA	NA	NA	NA	NA	NA	NA
