"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g006568"	-1.55166888193963	5.01834332735512	0.000255170717243025	0.0198703634351133	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007220"	-1.637611768666	2.87908778064614	0.000533538139830714	0.0339113957686457	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009145"	-3.03318845985759	3.09834297074281	5.10473126276275e-10	5.21947674375615e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g013120"	-2.88227233603324	2.78241007114626	1.6923504390818e-08	1.07564879124018e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g026165"	-1.63368531542104	3.36651777614725	0.000315285748788535	0.0228844905995678	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g030105"	-1.96922084076216	3.35506719677114	1.37881543674269e-05	0.00216170684172519	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g059500"	1.88039330441114	2.64208088073913	0.000182517750244001	0.0153495802006544	"CDP-alcohol phosphatidyltransferase (AHRD V1 **-- D3BS60_POLPA)"	"AT1G13560"	"AAPT1"	"Encodes aminoalcoholphosphotransferase AAPT1."	87.1	93	9e-44	171	94.84536082
"Solyc00g071180"	-1.50219896569401	3.82102622387753	0.000657326908683918	0.0395354396714059	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g075035"	1.961979482667	2.92055198716086	1.39265083037709e-05	0.00216893838264756	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g179240"	-1.60782015973717	2.89190956631672	0.000651235575758764	0.0392695052182535	"MADS-box transcription factor (AHRD V1 ***- Q1EMR8_PLAMJ); contains Interpro domain(s)  IPR002100  Transcription factor, MADS-box "	"AT2G45660"	"AGL20"	"Controls flowering and is required for CO to promote flowering. It acts downstream of FT. Overexpression of (SOC1) AGL20 suppresses not only the late flowering of plants that have functional FRI and FLC alleles but also the delayed phase transitions during the vegetative stages of"	94.34	53	3e-24	106	94.54545455
"Solyc00g183555"	-2.05118868121372	4.48481572554781	2.31134770184774e-06	0.000538177860439142	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g188857"	1.88844810511346	4.47462593843361	7.74218382517473e-05	0.00812825611681403	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g222065"	-1.83865905974062	3.59502417662751	3.88535006924948e-05	0.00507620986547445	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g222067"	-1.75537237911191	4.81311964770535	4.24130762152094e-05	0.00539150439650313	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g244305"	-1.8573965638938	4.66071808901477	1.60383048038201e-05	0.00246518179131658	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g247305"	-1.74424878232351	4.50830234409739	5.40931491851926e-05	0.00649034994585804	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g322635"	2.46542532241752	4.10606607329164	6.1712886244155e-08	2.96184070572203e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005100"	1.70340912479536	3.31448658455848	0.000254489388225569	0.0198703634351133	"Prolyl 3-hydroxylase 1 (AHRD V1 *--- P3H1_CHICK); contains Interpro domain(s)  IPR006620  Prolyl 4-hydroxylase, alpha subunit "	"AT1G68080"	NA	"oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors; similar to Os03g0238700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001049501.1); similar to hypothetical protein SwitDRAFT_3374 [Sphingomonas wittichii RW1] (GB:ZP_01607997.1); contains InterPro domain Prolyl 4-hydroxylase, alpha subunit; (InterPro:IPR006620)"	57.25	400	3e-119	425	98.01488834
"Solyc01g005120"	1.61013683751384	5.12323679899339	0.000179171730279942	0.0151567682769547	"Xyloglucan endotransglucosylase/hydrolase 13 (AHRD V1 **** C0IRH2_ACTDE); contains Interpro domain(s)  IPR016455  Xyloglucan endotransglucosylase/hydrolase "	"AT1G14720"	"ATXTH28"	"member of Glycoside Hydrolase Family 16"	68.54	302	1e-127	452	89.28571429
"Solyc01g006540"	-1.66552752400554	3.22658603168551	0.000262773864166001	0.0202911825931151	"Lipoxygenase (AHRD V1 **** Q96573_SOLLC); contains Interpro domain(s)  IPR001246  Lipoxygenase, plant "	"AT3G45140"	"ATLOX2"	"Chloroplast lipoxygenase required for wound-induced jasmonic acid accumulation in Arabidopsis.Mutants are resistant to Staphylococcus aureus and accumulate salicylic acid upon infection."	60.33	799	0	996	88.51727982
"Solyc01g007870"	-1.49505355493863	4.56704409384122	0.000445332344559248	0.0298579330287892	"Cyclin B-like protein (AHRD V1 *-*- Q5U8T5_9SOLA)"	"AT3G11600"	NA	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G06270.1); similar to H0913C04.5 [Oryza sativa (indica cultivar-group)] (GB:CAJ86164.1); similar to Os04g0415000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001052757.1); similar to Os02g0536500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047044.1)"	56.52	115	4e-24	106	89.76377953
"Solyc01g010135"	1.88081681394923	3.71953661139554	6.31439929161717e-05	0.00714482102372318	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g011090"	2.19684779542078	2.7356400498179	0.000315225824177194	0.0228844905995678	"Phospholipid-transporting ATPase (AHRD V1 ***- C5G6U4_AJEDR); contains Interpro domain(s)  IPR001757  ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter "	"AT1G59820"	"ALA3"	"haloacid dehalogenase-like hydrolase family protein; Identical to Putative phospholipid-transporting ATPase 3 (EC 3.6.3.1) (Aminophospholipid flippase 3) (ALA3) [Arabidopsis Thaliana] (GB:Q9XIE6;GB:Q8RWQ3); similar to haloacid dehalogenase-like hydrolase family protein [Arabidopsis thaliana] (TAIR:AT1G68710.1); similar to haloacid dehalogenase-like hydrolase family protein [Arabidopsis thaliana] (TAIR:AT3G25610.1); similar to haloacid dehalogenase-like hydrolase family protein [Arabidopsis thaliana] (TAIR:AT1G13210.1); similar to putative Potential phospholipid-transporting ATPase 8 [Oryza sativa (japonica cultivar-group)] (GB:BAD37698.1); similar to Putative phospholipid-transporting ATPase 4 (Aminophospholipid flippase 4) (GB:Q9LNQ4); similar to putative ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1 [Oryza sativa (japonica cultivar-group)] (GB:BAD54494.1); contains InterPro domain Phospholipid-translocating P-type ATPase, flippase; (InterPro:IPR006539); contains InterPro domain ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter; (InterPro:IPR001757)"	74.74	194	2e-82	301	77.2
