ITAG	logFC	logCPM	PValue	FDR	SGN_annotation	AGI	symbol	gene_name	X..identity	alignment.length	e.value	bit.score	percent.query.align
Solyc00g005092	1.526030341	5.712537563	0.000193482	0.003730627	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g005445	5.634882988	5.85493256	1.08E-34	2.45E-32	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g006568	5.817934664	8.157713908	4.47E-39	1.69E-36	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g006680	-1.436310341	9.370807282	0.001557776	0.023682042	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g006820	-1.930669967	3.1788916	0.000169033	0.003310983	"Peptide transporter-like protein (AHRD V1 **-* Q9LYR6_ARATH); contains Interpro domain(s)  IPR000109  TGF-beta receptor, type I/II extracellular region "	AT5G13400	NA	"proton-dependent oligopeptide transport (POT) family protein; similar to proton-dependent oligopeptide transport (POT) family protein [Arabidopsis thaliana] (TAIR:AT5G01180.1); similar to Os01g0103100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001041755.1); similar to PREDICTED: similar to solute carrier family 15, member 4 [Canis familiaris] (GB:XP_548544.2); contains InterPro domain TGF-beta receptor, type I/II extracellular region; (InterPro:IPR000109)"	76.81	621	0	979	94.49541284
Solyc00g007150	-1.546278184	5.604086817	0.000785536	0.013210877	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g007160	1.511942185	4.297590733	0.000351451	0.006397395	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g008580	-1.343849978	6.622680257	0.003193934	0.04277852	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g008915	2.066466876	5.231574327	4.42E-07	1.28E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g009146	4.103272603	4.677096416	2.94E-21	1.99E-19	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g011175	2.832843733	3.455175849	5.19E-11	2.09E-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g012440	-1.366588526	9.901680564	0.002518915	0.035293431	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g022107	5.051630988	5.466551945	4.48E-30	6.28E-28	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g026160	2.854789873	3.449617272	2.01E-10	7.74E-09	"Ferric reductase oxidase (AHRD V1 **** D6RVS5_HORVU); contains Interpro domain(s)  IPR013121  Ferric reductase, NAD binding "	AT5G23980	ATFRO4	"Encodes a ferric chelate reductase that is expressed at low levels in roots,shoots and cotyledons, but not flowers. Its transcription is regulated by FIT1."	58.46	455	3.00E-140	495	99.5505618
Solyc00g026165	5.855614306	6.67073589	5.91E-38	1.90E-35	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g030105	6.151083919	6.486229809	5.41E-41	2.94E-38	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g030215	2.061649047	3.658432975	2.02E-06	5.51E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g030520	1.722563552	2.793563554	9.33E-05	0.001941163	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g032945	1.370968213	7.289053303	0.000684077	0.011723382	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g042852	6.250352001	5.445589102	2.79E-40	1.26E-37	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g044350	2.384234307	4.353995332	2.26E-08	7.43E-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g052430	5.450313587	6.315679354	2.42E-34	5.41E-32	Cytochrome c biogenesis FC (AHRD V1 ***- D5I3C4_CITLA)	ATMG00180	CCB452	cytochrome c biogenesis orf452	89.29	364	4.00E-167	584	94.47368421
Solyc00g058480	3.291608644	3.478490819	8.40E-13	3.76E-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g069680	2.980938186	3.957673181	1.03E-11	4.36E-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g069883	2.318541729	7.182932044	9.96E-09	3.38E-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g071180	5.01787454	6.072949036	1.30E-29	1.76E-27	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g072805	4.29208472	6.174290525	1.43E-23	1.14E-21	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g090110	-1.644836185	3.21335053	0.001489859	0.022842223	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g090115	2.529585284	6.1963796	5.52E-10	2.03E-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g090130	-1.603264641	3.179205691	0.001919021	0.028150854	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g095465	3.708167242	5.164668952	2.14E-18	1.29E-16	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g098560	1.459589399	2.446294488	0.001314255	0.02055344	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g100885	4.712964798	8.894948535	1.30E-28	1.60E-26	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g125275	5.202750219	6.045101541	1.22E-31	1.98E-29	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g127870	1.309208092	3.757690421	0.00219591	0.031463971	Phosphatidylinositol N-acetylglucosaminyltransferase subunit P (AHRD V1 ***- B6TUG3_MAIZE); contains Interpro domain(s)  IPR013717  PIG-P 	AT2G39445	NA	NA	58.9	163	4.00E-47	183	94.67455621
Solyc00g128875	4.645660314	8.591485149	5.60E-28	6.52E-26	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g141565	6.814846543	6.288679558	6.31E-46	1.34E-42	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g143777	4.046712913	6.875712082	8.58E-22	6.05E-20	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g147573	6.017096996	6.22319102	2.54E-39	1.01E-36	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g167805	4.780359748	8.847347682	2.81E-29	3.62E-27	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g170210	2.513073969	5.174897894	1.21E-09	4.36E-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g170510	5.364694308	4.118534513	2.91E-29	3.72E-27	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g170515	4.702168721	5.682339646	1.45E-26	1.50E-24	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g172410	5.554790271	4.070434593	6.97E-30	9.55E-28	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g174345	5.355897661	6.746043575	1.24E-33	2.42E-31	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g179240	3.326620238	4.489336034	1.40E-14	6.98E-13	"MADS-box transcription factor (AHRD V1 ***- Q1EMR8_PLAMJ); contains Interpro domain(s)  IPR002100  Transcription factor, MADS-box "	AT2G45660	AGL20	Controls flowering and is required for CO to promote flowering. It acts downstream of FT. Overexpression of (SOC1) AGL20 suppresses not only the late flowering of plants that have functional FRI and FLC alleles but also the delayed phase transitions during the vegetative stages of	94.34	53	3.00E-24	106	94.54545455
Solyc00g183555	6.3403501	7.720782844	5.45E-44	7.10E-41	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g212265	5.49840038	7.776975786	7.91E-36	2.01E-33	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g215560	4.147853697	3.866728409	7.74E-19	4.77E-17	NA	NA	NA	NA	NA	NA	NA	NA	NA
