ITAG,cluster,symbol,gene_name
Solyc00g280110,1,NA,NA
Solyc01g006080,1,NA,NA
Solyc01g006200,1,NA,NA
Solyc01g006410,1,NA,NA
Solyc01g006420,1,NA,NA
Solyc01g006460,1,NA,NA
Solyc01g006530,1,NA,NA
Solyc01g006540,1,ATLOX2,Chloroplast lipoxygenase required for wound-induced jasmonic acid accumulation in Arabidopsis.Mutants are resistant to Staphylococcus aureus and accumulate salicylic acid upon infection.
Solyc01g006545,1,NA,NA
Solyc01g006560,1,ATLOX2,Chloroplast lipoxygenase required for wound-induced jasmonic acid accumulation in Arabidopsis.Mutants are resistant to Staphylococcus aureus and accumulate salicylic acid upon infection.
Solyc01g006565,1,NA,NA
Solyc01g006570,1,NA,NA
Solyc01g006575,1,NA,NA
Solyc01g006580,1,NA,NA
Solyc01g006590,1,NA,NA
Solyc01g006600,1,NA,NA
Solyc01g006610,1,NA,NA
Solyc01g006620,1,NA,"C2 domain-containing protein; similar to C2 domain-containing protein [Arabidopsis thaliana] (TAIR:AT1G51570.1); similar to NTRB (NADPH-dependent thioredoxin reductase B) [Arabidopsis thaliana] (TAIR:AT4G11610.1); similar to C2 domain-containing protein [Arabidopsis thaliana] (TAIR:AT5G12970.1); similar to C2 [Medicago truncatula] (GB:ABD33426.1); similar to C2 [Medicago truncatula] (GB:ABE89860.1); similar to C2 [Medicago truncatula] (GB:ABE85066.1); contains InterPro domain C2; (InterPro:IPR000008); contains InterPro domain Ankyrin; (InterPro:IPR002110); contains InterPro domain Phosphoribosyltransferase C-terminal, plant; (InterPro:IPR013583); contains InterPro domain C2 calcium/lipid-binding region, CaLB; (InterPro:IPR008973)"
Solyc01g006640,1,NA,NA
Solyc01g007080,1,NA,NA
Solyc01g015070,1,NA,NA
Solyc01g058730,1,NA,similar to expressed protein [Oryza sativa (japonica cultivar-group)] (GB:ABF95572.1); similar to expressed protein [Oryza sativa (japonica cultivar-group)] (GB:ABF95573.1); contains domain N-terminal nucleophile aminohydrolases (Ntn hydrolases) (SSF56235)
Solyc01g058733,1,NA,NA
Solyc01g065530,1,ATSEB1,putative membrane-anchored cell wall protein
Solyc01g066457,1,NA,NA
Solyc01g068410,1,PIN5,"PIN5 (PIN-FORMED 5); auxin:hydrogen symporter/ transporter; similar to PIN8 (PIN-FORMED 8), auxin:hydrogen symporter/ transporter [Arabidopsis thaliana] (TAIR:AT5G15100.1); similar to Putative auxin efflux carrier component 8 (AtPIN8) (GB:Q9FFD0); contains InterPro domain Ankyrin; (InterPro:IPR002110); contains InterPro domain Auxin Efflux Carrier; (InterPro:IPR004776)"
Solyc01g088010,1,NA,NA
Solyc01g094040,1,NA,NA
Solyc01g095440,1,NA,NA
Solyc01g096193,1,NA,NA
Solyc01g096340,1,NA,auxin-responsive family protein; similar to auxin-responsive family protein [Arabidopsis thaliana] (TAIR:AT2G46690.1); similar to Auxin responsive SAUR protein [Medicago truncatula] (GB:ABE91172.1); contains InterPro domain Auxin responsive SAUR protein; (InterPro:IPR003676)
Solyc01g096510,1,NA,NA
Solyc01g103868,1,NA,NA
Solyc01g104070,1,NA,"importin beta-2 subunit family protein; similar to EMB2734 (EMBRYO DEFECTIVE 2734), lyase [Arabidopsis thaliana] (TAIR:AT5G19820.1); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:AAP06844.1); contains InterPro domain Armadillo-like helical; (InterPro:IPR011989); contains InterPro domain HEAT; (InterPro:IPR000357); contains InterPro domain Importin-beta, N-terminal; (InterPro:IPR001494)"
Solyc02g062515,1,NA,NA
Solyc02g062520,1,NA,"pseudouridine synthase family protein; similar to pseudouridine synthase family protein [Arabidopsis thaliana] (TAIR:AT5G51140.1); similar to Pseudouridine synthase, RluD [Crocosphaera watsonii WH 8501] (GB:ZP_00517595.1); contains InterPro domain Pseudouridine synthase, RluD; (InterPro:IPR006225); contains InterPro domain Pseudouridine synthase; (InterPro:IPR006145)"
Solyc02g067970,1,NA,NA
Solyc02g072190,1,NA,NA
Solyc02g072230,1,NA,transducin family protein / WD-40 repeat family protein; similar to transducin family protein / WD-40 repeat family protein [Arabidopsis thaliana] (TAIR:AT3G49660.1); similar to putative G-protein beta [Gossypium hirsutum] (GB:AAT64014.1); contains InterPro domain WD-40 repeat; (InterPro:IPR001680); contains InterPro domain WD40-like; (InterPro:IPR011046)
Solyc02g073572,1,NA,NA
Solyc02g078210,1,NA,NA
Solyc02g078650,1,NA,NA
Solyc02g078700,1,NA,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G09300.1); similar to pg4 [Hordeum vulgare] (GB:AAV65331.1); contains InterPro domain CTLH, C-terminal to LisH motif; (InterPro:IPR006595); contains InterPro domain CT11-RanBPM; (InterPro:IPR013144)"
Solyc02g084450,1,NA,NA
Solyc02g084455,1,NA,NA
Solyc02g086440,1,NA,NA
Solyc03g020030,1,NA,NA
Solyc03g020040,1,NA,NA
Solyc03g025613,1,NA,NA
Solyc03g046580,1,NA,NA
Solyc03g097350,1,YAK1,"kinase; similar to protein kinase family protein [Arabidopsis thaliana] (TAIR:AT2G40120.1); similar to Os02g0702500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047851.1); similar to hypothetical protein SPAC823.03 [Schizosaccharomyces pombe 972h-] (GB:NP_593830.1); similar to Os04g0602800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001053776.1); contains InterPro domain Serine/threonine protein kinase; (InterPro:IPR002290); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271)"
Solyc03g097540,1,NA,NA
Solyc03g111740,1,NA,nucleotide binding; similar to transducin family protein / WD-40 repeat family protein [Arabidopsis thaliana] (TAIR:AT3G49660.1); similar to Os03g0746600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051251.1); similar to putative WD-repeat protein [Oryza sativa (japonica cultivar-group)] (GB:AAK71564.1); contains InterPro domain WD-40 repeat; (InterPro:IPR001680); contains InterPro domain WD40-like; (InterPro:IPR011046)
Solyc03g113530,1,NA,NA
Solyc03g123380,1,NA,NA
Solyc03g123400,1,NA,NA
Solyc03g123410,1,ATGER1,germin-like protein (GLP1)
Solyc03g123450,1,NA,NA
Solyc03g123550,1,NA,NA
Solyc03g123610,1,ALAAT2,Encodes for alanine aminotransferase ALAAT2.
