"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005445"	-1.13945044862388	2.6470496838666	0.000444164281540755	0.0394729814175379	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006568"	-1.27976134603815	4.87356281963408	5.32553925775547e-06	0.00112727141888708	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g022107"	-1.42754504137246	2.70435170399085	2.53862006409157e-05	0.00381349868208439	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g026165"	-1.19943678028015	3.11764136994975	0.000119560661415261	0.0144240955460773	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g030105"	-1.8721909131864	3.347425347667	2.09992703318216e-09	1.88056542463898e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g071180"	-1.09039515732736	3.5868283916805	0.000330036520801844	0.0323472503554144	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g072100"	-1.36467847790637	2.61083408488694	6.86455457545691e-05	0.00892928987346026	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g125275"	-1.46183075039381	3.25989090575417	2.36422469979234e-06	0.000573422999062134	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g141565"	-1.63226801560618	2.82082457485855	6.96689970939742e-07	0.000249565065897861	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g167805"	-1.09338465463897	5.96070408561081	5.99295654514787e-05	0.00792840910211494	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g183555"	-1.7692741634119	4.32642148774189	1.08632986429539e-09	1.20448116953589e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g212265"	-1.22127929222095	4.71013018587942	1.51653972262751e-05	0.00255877615229413	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g222065"	-1.7257487675421	3.57353869481822	1.15629949738968e-08	8.95708335249897e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g222067"	-1.91066410541776	4.98869058344581	2.24483104289416e-11	5.80762733363861e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g226760"	-1.59994168597154	2.04587560607363	1.81644169422265e-05	0.0028968512608411	"Steroid sulfotransferase 3 (AHRD V1 **** O82410_BRANA); contains Interpro domain(s)  IPR000863  Sulfotransferase "	"AT2G03760"	"ATST1"	"High similarity to flavonol sulfotransferases (FSTs). Differentially expressed during development, being more abundant in young seedlings and actively growing cell cultures. Expression induced in response to salicylic acid and methyl jasmonate and bacterial pathogens"	51.68	327	2e-93	339	98.48484848
"Solyc00g227960"	-1.60818536607999	2.05177739234204	1.53867327539244e-05	0.00257744378016098	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g230060"	-1.71007140429187	2.11375804100628	3.20204972823694e-06	0.000745565258722689	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g230070"	-1.7610589647414	2.01679393512032	2.96725023459628e-06	0.000697873277397371	"Photosystem II CP43 chlorophyll apoprotein (AHRD V1 ***- D1L8N4_BRANA); contains Interpro domain(s)  IPR000932  Photosystem antenna protein-like "	"ATCG00280"	"PSBC"	"chloroplast gene encoding a CP43 subunit of  the photosystem II reaction center. promoter contains a blue-light responsive element."	95.4	87	4e-44	172	97.72727273
"Solyc00g230080"	-1.73359625681309	2.03026265870229	4.57515652590376e-06	0.00101455185284898	"Photosystem II D2 protein (AHRD V1 ***- D0FXW8_DUNSA); contains Interpro domain(s)  IPR000484  Photosynthetic reaction centre, L/M "	"ATCG00270"	"PSBD"	"PSII D2 protein"	96.23	106	2e-56	213	88.23529412
"Solyc00g230280"	-1.7610589647414	2.01679393512032	2.96725023459628e-06	0.000697873277397371	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g231680"	-1.22366490970586	2.40735753234214	0.0004322512923908	0.0387097657385669	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g231780"	-1.76258262886696	2.08187528364661	1.61243830936715e-06	0.000431540386152927	NA	NA	NA	NA	NA	NA	NA	NA	NA
